Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Subject,Name.donor,Name.photographer,Name.artist,Alt ID.local,AltTitle.uniform,Format.extent,Relation.isPartOf,Rights.copyrightStatus,Title,AltTitle.other,Description.note,Date.creation,Format.medium,Date.normalized,Description.abstract,Rights.notice,Format.dimensions,Description.physicalDescription,Opac url,Finding Aid URL,Rights.servicesContact,Name.copyrightHolder,Name.repository,Name.manufacturer,Name.designer,Name.contributor,Publisher.publisherName,Name.subject,Name.architect,Name.printer,Bucketeer State,IIIF Access URL
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0026wmd4,ark:/21198/zz0002wfmd,2,Completed,Work,castillo/masters/21198-zz0026wmd4_1831569_master.tif,,,,,still image,black-and-white negatives,"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|Chicano artists--California--Los Angeles County|~|documentary photography|~|Castillo, Oscar R.|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_filmnegatives_02_01912,Oscar Castillo Photograph Collection,1 Photograph,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",View of Veteran's funeral ceremony,,"Photograph taken in Crystal City, TX",early 1970s,Gelatin-Silver Photograph,1970/1975,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,failed,
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz00289ct5,ark:/21198/zz0002wfmd,2,Completed,Work,castillo/masters/21198-zz00289ct5_1909186_master.tif,,,,,still image,black-and-white negatives,"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|Chicano artists--California--Los Angeles County|~|Castillo, Oscar R.|~|documentary photography|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_filmnegatives_05_02650,Oscar Castillo Photograph Collection,1 Photograph,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Wedding in Calabasas,,"Photograph taken in Calabasas, CA",mid 1970s,Gelatin-Silver Photograph,1975/1979,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,failed,
