Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Subject.conceptTopic,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,Text direction,IIIF Range,Name.repository,Title,Date.creation,Description.note,Summary,Description.caption,Date.normalized,Description.abstract,Date.created,AltTitle.other,Opac url,Finding Aid URL,IIIF Manifest URL
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015wwpb,ark:/21198/zz000s2z5v,2,Completed,Work,,1,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wx8m,,,copyrighted,Y,published,Los Angeles (Calif.),,,"Southern California Women for Understanding|~|Lyon, Phyllis|~|Martin, Del",Education Committee - Lesbian Rights Award Dinners,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,Southern California Women for Understanding,,,,,First Lesbian Rights Award Dinner - Invitation,"September 15, 1979",,,,1979-09-15,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wwpb/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015wxbn,ark:/21198/zz000s2z5v,2,Completed,Work,,3,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015x07h,,,copyrighted,Y,published,Los Angeles (Calif.),,,"Southern California Women for Understanding|~|Bennett, Roberta|~|Abbitt, Diane",Education Committee - Lesbian Rights Award Dinners,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,Southern California Women for Understanding,,,,,Third Lesbian Rights Award Dinner - Invitation,"May 07, 1983",,,,1983-05-07,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wxbn/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015x0ck,ark:/21198/zz000s2z5v,2,Completed,Work,,4,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015x0d3,,,copyrighted,Y,published,Los Angeles (Calif.),,,"Southern California Women for Understanding|~|Bennett, Roberta|~|Abbitt, Diane",Education Committee - Lesbian Rights Award Dinners,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,Southern California Women for Understanding,,,,,Third Lesbian Rights Award Dinner - Dinner Program,"May 07, 1983",Rights.statementLocal: Copyright question re: advertisements in program.,,,1983-05-07,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015x0ck/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015x3mn,ark:/21198/zz000s2z5v,2,Completed,Work,,5,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015x3pp,,,copyrighted,Y,published,Los Angeles (Calif.),,,"Southern California Women for Understanding|~|Martinez, Adel|~|Johnson, Deborah|~|McGreivy, Susan|~|Wolverton, Terry|~|Riddell, Myra|~|Beers, Jinx|~|Cordova, Jeanne",Education Committee - Lesbian Rights Award Dinners,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,Southern California Women for Understanding,,,,,Tenth Anniversary Lesbian Rights Award Dinner - Dinner Program,"January 18, 1986",Rights.statementLocal: Copyright question re: advertisements in program.,,,1986-01-18,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015x3mn/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015z05x,ark:/21198/zz000s2z5v,2,Completed,Work,,6,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015z0jm,,,copyrighted,Y,published,Los Angeles (Calif.),,,"Southern California Women for Understanding|~|Collier, Ret|~|Adam, Margie|~|Riddell, Myra|~|Doyle, Judi|~|Muirhead, Barbara|~|Williamson, Cris|~|Kehoe, Chris|~|Bottini, Ivy|~|Alcoholism Center for Women|~|Strik, Margo|~|Near, Holly|~|Brooke, Aslan|~|Tillery, Linda|~|Dwyer, Sandy|~|Christian, Meg",Education Committee - Lesbian Rights Award Dinners,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,Southern California Women for Understanding,,,,,Eleventh Lesbian Rights Award Dinner - Dinner Program,"March 7, 1987",Rights.statementLocal: Copyright question re: advertisements in program.,,,1987-03-07,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015z05x/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015z1m4,ark:/21198/zz000s2z5v,2,Completed,Work,,7,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015z1nn,,,copyrighted,Y,published,Los Angeles (Calif.),,,"MacCulloch, Bunny|~|Southern California Women for Understanding|~|Tyler, Robin|~|Berryhill Smith, Kay|~|Cowan, Geni|~|Callahan, Pat|~|Starr, Larry|~|Zimmerman, Bonnie|~|Starr, Adele|~|Conter, Connie",Education Committee - Lesbian Rights Award Dinners,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,Southern California Women for Understanding,,,,,Twelfth Lesbian Rights Award Dinner - Dinner Program,"March 12, 1988",Rights.statementLocal: Copyright question re: advertisements in program.,,,1988-03-12,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015z1m4/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015z3cg,ark:/21198/zz000s2z5v,2,Completed,Work,,8,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015z5w6,,,copyrighted,Y,published,Los Angeles (Calif.),,,"Southern California Women for Understanding|~|West Hollywood City Council|~|Spaur, Rita|~|Williams, Becky|~|Acker, De|~|Uribe, Virginia|~|Gay and Lesbian Educators of Orange County|~|Johnson, Gloria|~|Project Sister",Education Committee - Lesbian Rights Award Dinners,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,Southern California Women for Understanding,,,,,Thirteenth Lesbian Rights Award Dinner - Dinner Program,"March 4, 1989",Rights.statementLocal: Copyright question re: advertisements in program.,,,1989-03-04,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015z3cg/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015z70q,ark:/21198/zz000s2z5v,2,Completed,Work,,9,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015z717,,,copyrighted,Y,published,Los Angeles (Calif.),,,"Southern California Women for Understanding|~|Osborn, Torie|~|Thompson, Karen|~|Gay and Lesbian Resources of Ventura County|~|Allred, Gloria|~|Elliott, Linda|~|Long Beach Lambda Democratic Club",Education Committee - Lesbian Rights Award Dinners,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,Southern California Women for Understanding,,,,,Fourteenth Lesbian Rights Award Dinner - Dinner Program,"March 17, 1990",Rights.statementLocal: Copyright question re: advertisements in program.,,,1990-03-17,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015z70q/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015zqms,ark:/21198/zz000s2z5v,2,Completed,Work,,10,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zqpt,,,copyrighted,Y,published,Los Angeles (Calif.),,,"Southern California Women for Understanding|~|Berryhill Smith, Kay|~|Moraga, Cherrie|~|Weis, Charles|~|Pomona/ San Gabriel Valley Gay and Lesbian Coalition|~|Thousand Oaks Creative Planning Options|~|Bunch, Charlotte|~|Rich, Adrienne|~|Andersen, Carol|~|Kaye, Lisa|~|Forrest, Katherine|~|Gunn Allan, Paula|~|Anzaldua, Gloria|~|Brown, Rita Mae|~|Sarton, May",Education Committee - Lesbian Rights Award Dinners,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,Southern California Women for Understanding,,,,,Fifteenth Lesbian Rights Award Dinner - Dinner Program,"March 16, 1991",Rights.statementLocal: Copyright question re: advertisements in program.,,,1991-03-16,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015zqms/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015zs93,ark:/21198/zz000s2z5v,2,Completed,Work,,11,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015zsh6,,,copyrighted,Y,published,Los Angeles (Calif.),,,"Southern California Women for Understanding|~|Jean, Arlene|~|Gardner, Barbara Paton|~|Soby, Judie|~|Achtenberg, Roberta|~|Garrett-Norris, Georgia|~|The June L. Mazer Lesbian Archives|~|Dahl, Judy",Education Committee - Lesbian Rights Award Dinners,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,Southern California Women for Understanding,,,,,Sixteenth Lesbian Rights Award Dinner - Dinner Program,"March 14, 1992",Rights.statementLocal: Copyright question re: advertisements in program.,,,1992-03-14,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015zs93/manifest
