"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.creator","Author","Rights.servicesContact","Language","Type.genre","Subject","Name.subject","Name.repository","Name.contributor","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.normalized","Date.creation","Description.note","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpfk","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpfk_742979_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpfk",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpg3","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpg3_742983_master.tif","2","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpg3",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tphm","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tphm_742990_master.tif","3","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tphm",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpj4","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpj4_742997_master.tif","4","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpj4",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpkn","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpkn_743001_master.tif","5","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpkn",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpm5","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpm5_743007_master.tif","6","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpm5",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpnp","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpnp_743011_master.tif","7","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpnp",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpp6","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpp6_743015_master.tif","8","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpp6",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpqq","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpqq_743018_master.tif","9","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpqq",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpr7","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpr7_743021_master.tif","10","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpr7",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpsr","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpsr_743027_master.tif","11","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpsr",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpt8","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpt8_743033_master.tif","12","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpt8",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpvs","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpvs_743039_master.tif","13","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpvs",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tpw9","ark:/21198/zz0019tpd2","2","Completed","Page","cruikshank/images/masters/21198-zz0019tpw9_743042_master.tif","14","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tpw9",""
