Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Name.correspondent,Name.creator,Title,Alt ID.local,Relation.isPartOf,AltTitle.creator,AltTitle.descriptive,Date.creation,Alt ID.collection,Description.note,Publisher.placeOfOrigin,Coverage.geographic,Date.normalized,AltTitle.other,Format.medium
Minasian Collection of Armenian Materials,ark:/21198/zz002bqkxt,,10,Completed with minimal metadata,Collection,,,,,,,,,,,,,Minasian Collection of Armenian Materials,,,,,,1632,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcp4j,ark:/21198/zz002bqkxt,10,Completed with minimal metadata,Work,minasiancorr/pdf/Box_1_Folder_1.pdf,1,,,,,text,unknown,,letters (correspondence),"Set Sami, Eghiazar",,"UCLA LSC, Collection 1632, Box 1, Folder 1",Box_1_Folder_1,Arm,"Abcar, Grigor|~|Grigor Abcar",,1881-1831,1632,Collection of letters by Grigor Abcar to Set Sami. Letters are about the family affairs and business.,"Madras, India",Iran|~|India,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcp52,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0001.tif,1,,,,,text,unknown,arm,letters (correspondence),"Set Sami, Eghiazar|~|Abcar, Grigor",,Letters from Eghiazar Set Sami to Grigor Abcar : նամակներ Եղիազար Սէթ Սամիից Գրիգոր Աբգարին 1831,"UCLA LSC, Collection 1632, Box 1, Folder 1, 1|~|uclamss_1632_01_01_0001",Series 1. Correspondence : Նամակներ 1828-1962. Sub-series: Abcar Family : Աբգար ընտանիք 1831-1894,,,1831,,From Madras.,,,1831,նամակներ Եղիազար Սէթ Սամիից Գրիգոր Աբգարին,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcp6k,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0001back.tif,2,,,,,text,unknown,arm,letters (correspondence),"Abcar, Grigor",,"UCLA LSC, Collection 1632, Box 1, Folder 1, 1 back",uclamss_1632_01_01_0001back,Series 1. Correspondence : Նամակներ 1828-1962. Sub-series: Abcar Family : Աբգար ընտանիք 1831-1894,Ghazar,,"August 12, 1831",,"Family letter. Greetings to family members and friends. The letter is from Madras, India now Chennai.",,Chennai (India),,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcp73,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0002.tif,3,,,,,text,unknown,arm,letters (correspondence),"Abcar, Grigor",,"UCLA LSC, Collection 1632, Box 1, Folder 1, 2",uclamss_1632_01_01_0002,Series 1. Correspondence : Նամակներ 1828-1962. Sub-series: Abcar Family : Աբգար ընտանիք 1831-1894,Eghiazar|~|Set'|~|Sami,,"October 22, 1831",,"This letter is by Eghiazar, Set', and Sami addressed to Grigor Abcar. It is a family letter asking after the family and congratulating Grigor on the birth of a new baby girl.",Isfahan (Iran),,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcp8m,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0003a.tif,4,,,,,text,unknown,arm,letters (correspondence),"Abcar, Grigor","Set Sami, Eghiazar","UCLA LSC, Collection 1632, Box 1, Folder 1, 3a",uclamss_1632_01_01_0003a,Series 1. Correspondence : Նամակներ 1828-1962. Sub-series: Abcar Family : Աբգար ընտանիք 1831-1894,,,"October 26, 1831",,"Letter from Set, Eghiazar and Sam to Grigor Abcar. General family and business issues.",Chennai (India),Chennai (India)|~|Isfahan (Iran),,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcp94,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0003b.tif,5,,,,,text,unknown,,letters (correspondence),,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 3b",uclamss_1632_01_01_0003b,Series 1. Correspondence : Նամակներ 1828-1962. Sub-series: Abcar Family : Աբգար ընտանիք 1831-1894,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpbn,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0003c.tif,6,,,,,text,unknown,arm,letters (correspondence),"Set Sami, Eghiazar",,"UCLA LSC, Collection 1632, Box 1, Folder 1, 3c",uclamss_1632_01_01_0003c,Series 1. Correspondence : Նամակներ 1828-1962. Sub-series: Abcar Family : Աբգար ընտանիք 1831-1894,Sami Eghiazar,,1831,"Minasian Correspondence, Collection 1632",Letters of Sami Eghiazar to Grigor. Mostly on family issues and family business.,Madras (India),Iran|~|India,1831-10-26,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpc5,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0004.tif,7,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 4",uclamss_1632_01_01_0004,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpdp,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0004back.tif,8,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 4 back",uclamss_1632_01_01_0004back,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpf6,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0005a.tif,9,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 5a",uclamss_1632_01_01_0005a,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpgq,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0005b.tif,10,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 5b",uclamss_1632_01_01_0005b,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcph7,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0005c.tif,11,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 5c",uclamss_1632_01_01_0005c,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpjr,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0006a.tif,12,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 6a",uclamss_1632_01_01_0006a,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpk8,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0006b.tif,13,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 6b",uclamss_1632_01_01_0006b,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpms,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0006c.tif,14,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 6c",uclamss_1632_01_01_0006c,,,,,,,,,,,
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpn9,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0007.tif,15,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 7",uclamss_1632_01_01_0007,,,,,,,,,,,
