Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Name.correspondent,Name.creator,Title,Alt ID.local,Relation.isPartOf,AltTitle.creator,AltTitle.descriptive,Date.creation,Alt ID.collection,Description.note,Publisher.placeOfOrigin,Coverage.geographic,Date.normalized,AltTitle.other,Format.medium,Bucketeer State,IIIF Access URL
Minasian Collection of Armenian Materials,ark:/21198/zz002j0zk1,ark:/21198/zz002j0xvp,5,Imported,Page,minasiancorr/image/uclalsc_1632_b37_f02_005_001.tif,11,,,,private,text,unknown,,,,,uclalsc_1632_b37_f02_005_001,uclalsc_1632_b37_f02_005_001,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002j1j2x,ark:/21198/zz002j1ghp,5,Imported,Page,minasiancorr/image/uclalsc_1632_b39_f02_005_004.tif,16,,,,private,text,unknown,,,,,uclalsc_1632_b39_f02_005_004,uclalsc_1632_b39_f02_005_004,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002j1j3f,ark:/21198/zz002j1ghp,5,Imported,Page,minasiancorr/image/uclalsc_1632_b39_f02_005_005.tif,17,,,,private,text,unknown,,,,,uclalsc_1632_b39_f02_005_005,uclalsc_1632_b39_f02_005_005,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002j1j4z,ark:/21198/zz002j1ghp,5,Imported,Page,minasiancorr/image/uclalsc_1632_b39_f02_005_006.tif,18,,,,private,text,unknown,,,,,uclalsc_1632_b39_f02_005_006,uclalsc_1632_b39_f02_005_006,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002j1j5g,ark:/21198/zz002j1ghp,5,Imported,Page,minasiancorr/image/uclalsc_1632_b39_f02_005_007.tif,19,,,,private,text,unknown,,,,,uclalsc_1632_b39_f02_005_007,uclalsc_1632_b39_f02_005_007,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002j1j60,ark:/21198/zz002j1ghp,5,Imported,Page,minasiancorr/image/uclalsc_1632_b39_f02_005_008.tif,20,,,,private,text,unknown,,,,,uclalsc_1632_b39_f02_005_008,uclalsc_1632_b39_f02_005_008,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002j1j7h,ark:/21198/zz002j1ghp,5,Imported,Page,minasiancorr/image/uclalsc_1632_b39_f02_005_009.tif,21,,,,private,text,unknown,,,,,uclalsc_1632_b39_f02_005_009,uclalsc_1632_b39_f02_005_009,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002j1j81,ark:/21198/zz002j1ghp,5,Imported,Page,minasiancorr/image/uclalsc_1632_b39_f02_005_010.tif,22,,,,private,text,unknown,,,,,uclalsc_1632_b39_f02_005_010,uclalsc_1632_b39_f02_005_010,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002j1j9j,ark:/21198/zz002j1ghp,5,Imported,Page,minasiancorr/image/uclalsc_1632_b39_f02_005_011.tif,23,,,,private,text,unknown,,,,,uclalsc_1632_b39_f02_005_011,uclalsc_1632_b39_f02_005_011,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jktm7,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_04_002.tif,8,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_04_002,uclalsc_1632_b25_f02_04_002,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jktqs,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_06_002.tif,11,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_06_002,uclalsc_1632_b25_f02_06_002,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jkttb,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_08_002.tif,14,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_08_002,uclalsc_1632_b25_f02_08_002,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jktvv,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_08_003.tif,15,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_08_003,uclalsc_1632_b25_f02_08_003,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jktzd,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_10_002.tif,18,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_10_002,uclalsc_1632_b25_f02_10_002,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jkv0d,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_10_003.tif,19,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_10_003,uclalsc_1632_b25_f02_10_003,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jkv1x,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_10_004.tif,20,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_10_004,uclalsc_1632_b25_f02_10_004,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jkw1d,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_14_014.tif,49,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_14_014,uclalsc_1632_b25_f02_14_014,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jkw2x,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_14_015.tif,50,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_14_015,uclalsc_1632_b25_f02_14_015,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jkw3f,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_14_016.tif,51,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_14_016,uclalsc_1632_b25_f02_14_016,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jkw4z,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_14_017.tif,52,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_14_017,uclalsc_1632_b25_f02_14_017,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jkw5g,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_14_018.tif,53,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_14_018,uclalsc_1632_b25_f02_14_018,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jkw60,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_14_019.tif,54,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_14_019,uclalsc_1632_b25_f02_14_019,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jkw7h,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_14_020.tif,55,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_14_020,uclalsc_1632_b25_f02_14_020,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jkw81,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_14_021.tif,56,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_14_021,uclalsc_1632_b25_f02_14_021,,,,,,,,,,,,failed,
Minasian Collection of Armenian Materials,ark:/21198/zz002jkw9j,ark:/21198/zz002hzpvf,5,Imported,Page,minasiancorr/image/uclalsc_1632_b25_f02_14_022.tif,57,,,,private,text,unknown,,,,,uclalsc_1632_b25_f02_14_022,uclalsc_1632_b25_f02_14_022,,,,,,,,,,,,failed,
