"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Name.correspondent","Name.creator","Title","Alt ID.local","Relation.isPartOf","AltTitle.creator","AltTitle.descriptive","Date.creation","Alt ID.collection","Description.note","Publisher.placeOfOrigin","Coverage.geographic","Date.normalized","AltTitle.other","Format.medium","IIIF Manifest URL"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdcpx","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","10","","","","","text","unknown","arm","","","","UCLA LSC, Collection 1632, Box 1, Folder 10","Box_1_Folder_10","","Hovakim Abramean","Correspondence and accounts","1835-|~|1835-1841","Minasian collection of Armenian materials 1632","Letters to and from Hovakim Abramean.","India","Madras, India","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdcpx/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gddtg","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","11","","","","","text","unknown","arm","letters (correspondence)","","","UCLA LSC, Collection 1632, Box 1, Folder 11","Box_1_Folder_11","","Abramean, Hovakim","","1835-1848","Minasian collection of Armenian material, 1632","Correspondence from and Hovakim Abramean","India","Calcutta, India","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gddtg/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdg64","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","13","","","","","text","unknown","arm","letters (correspondence)","","","UCLA LSC, Collection 1632, Box 1, Folder 12","Box_1_Folder_12","","Abramean, Hovakim","Correspondence and accounts","1829-1831","Minasian collection of Armenian materials, 1632","Correspondence from and to Hovakim Abramean","Iran","Culcatta, India","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdg64/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdhc6","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","12","","","","","text","unknown","arm","letters (correspondence)","","","UCLA LSC, Collection 1632, Box 1, Folder 13","Box_1_Folder_13","","","","1832-1836","","","Iran|~|India","Calcutta, India|~|Isfahan, Iran","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdhc6/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdjtd","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","15","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 1, Folder 14","Box_1_Folder_14","","Abramean, Hovakim","","1838-1839","Minasian Collection of Armenian materials, 1632","Correspondence from Hovakim Abramean to Martiros Ter Hovakimean","India|~|Iran","Madras, India|~|Isfahan, Iran","","Ter Hovakimean, Martiros","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdjtd/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdktw","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","16","","","","","text","unknown","arm","letters (correspondence)","","","UCLA LSC, Collection 1632, Box 1, Folder 15","Box_1_Folder_15","","Abramean, Hovakim","","1839-1848","Minasian Collection of Armenian materials, 1632","Correspondence between Hovakim Abramean and his son Martiros Ter Hovakimean","India|~|Iran","Isfahan, Iran|~|Madras, India","","Ter Hovakimean, Martiros","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdktw/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdnn8","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","17","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 1","Box_2_Folder_1","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdnn8/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdp40","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","18","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 2","Box_2_Folder_2","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdp40/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdpb3","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","19","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 3","Box_2_Folder_3","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdpb3/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdpj6","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","20","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 4","Box_2_Folder_4","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdpj6/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdpr9","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","21","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 5","Box_2_Folder_5","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdpr9/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdq71","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","22","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 6","Box_2_Folder_6","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdq71/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdr5g","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","23","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 7","Box_2_Folder_7","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdr5g/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdrfm","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","24","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 8","Box_2_Folder_8","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdrfm/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdrp7","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","25","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 9","Box_2_Folder_9","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdrp7/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gds4f","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","26","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 10","Box_2_Folder_10","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gds4f/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdtqq","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","27","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 11","Box_2_Folder_11","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdtqq/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdtvs","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","28","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 12","Box_2_Folder_12","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdtvs/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdv90","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","29","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 13","Box_2_Folder_13","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdv90/manifest"
