"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Name.correspondent","Name.creator","Title","Alt ID.local","Relation.isPartOf","AltTitle.creator","AltTitle.descriptive","Date.creation","Alt ID.collection","Description.note","Publisher.placeOfOrigin","Coverage.geographic","Date.normalized","AltTitle.other","Format.medium","IIIF Manifest URL"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gh60h","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","63","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 8","Box_4_Folder_8","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gh60h/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gh8tw","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","64","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 9","Box_4_Folder_9","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gh8tw/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ghcm7","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","65","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 10","Box_4_Folder_10","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ghcm7/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ghgdk","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","66","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 11","Box_4_Folder_11","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ghgdk/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ghjv8","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","67","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 12","Box_4_Folder_12","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ghjv8/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ghnz8","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","68","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 13","Box_4_Folder_13","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ghnz8/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ghtq2","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","69","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 14","Box_4_Folder_14","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ghtq2/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ghtx5","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","70","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 15","Box_4_Folder_15","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ghtx5/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ghv6s","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","71","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 4, Folder 16","Box_4_Folder_16","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ghv6s/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ghvhf","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","72","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 1","Box_5_Folder_1","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ghvhf/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gj1w0","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","73","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 2","Box_5_Folder_2","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gj1w0/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gj6hq","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","74","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 3","Box_5_Folder_3","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gj6hq/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gj93z","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","75","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 4","Box_5_Folder_4","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gj93z/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjbss","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","76","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 5","Box_5_Folder_5","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjbss/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjdfk","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","77","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 6","Box_5_Folder_6","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjdfk/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjfv8","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","78","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 7","Box_5_Folder_7","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjfv8/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjjw7","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","79","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 8","Box_5_Folder_8","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjjw7/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjmvp","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","80","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 9","Box_5_Folder_9","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjmvp/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjnzq","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","81","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 10","Box_5_Folder_10","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjnzq/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjvzm","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","82","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 11","Box_5_Folder_11","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjvzm/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjw56","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","83","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 12","Box_5_Folder_12","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjw56/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjwc9","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","84","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 13","Box_5_Folder_13","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjwc9/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjwnf","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","85","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 14","Box_5_Folder_14","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjwnf/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjwz3","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","86","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 15","Box_5_Folder_15","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjwz3/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjxft","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","87","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 16","Box_5_Folder_16","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjxft/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjxpf","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","88","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 17","Box_5_Folder_17","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjxpf/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjz0k","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","89","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 18","Box_5_Folder_18","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjz0k/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gjzc8","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","90","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 19","Box_5_Folder_19","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gjzc8/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gk0pv","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","91","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 20","Box_5_Folder_20","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gk0pv/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gk1wf","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","92","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 21","Box_5_Folder_21","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gk1wf/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gk252","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","93","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 5, Folder 22","Box_5_Folder_22","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gk252/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gk2gq","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","94","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 1","Box_6_Folder_1","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gk2gq/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gk50x","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","95","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 2","Box_6_Folder_2","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gk50x/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gk84f","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","96","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 3","Box_6_Folder_3","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gk84f/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gk8jn","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","97","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 4","Box_6_Folder_4","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gk8jn/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gk9r7","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","98","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 5","Box_6_Folder_5","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gk9r7/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gk9zb","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","99","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 6","Box_6_Folder_6","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gk9zb/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkdx8","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","100","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 7","Box_6_Folder_7","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkdx8/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkf9f","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","101","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 8","Box_6_Folder_8","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkf9f/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkgbf","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","102","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 9","Box_6_Folder_9","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkgbf/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkh9d","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","103","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 10","Box_6_Folder_10","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkh9d/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkj1r","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","104","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 11","Box_6_Folder_11","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkj1r/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkk0q","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","105","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 12","Box_6_Folder_12","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkk0q/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkk59","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","106","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 13","Box_6_Folder_13","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkk59/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkkgz","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","107","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 14","Box_6_Folder_14","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkkgz/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkkm1","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","108","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 15","Box_6_Folder_15","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkkm1/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkm06","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","109","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 16","Box_6_Folder_16","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkm06/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkpgd","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","110","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 17","Box_6_Folder_17","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkpgd/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkpq1","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","111","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 18","Box_6_Folder_18","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkpq1/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkq0n","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","112","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 19","Box_6_Folder_19","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkq0n/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkqmz","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","113","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 20","Box_6_Folder_20","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkqmz/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkqt2","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","114","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 21","Box_6_Folder_21","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkqt2/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkr3p","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","115","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 22","Box_6_Folder_22","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkr3p/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkrjd","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","116","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 23","Box_6_Folder_23","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkrjd/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gkw7p","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","117","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 24","Box_6_Folder_24","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gkw7p/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gm0m8","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","118","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 6, Folder 25","Box_6_Folder_25","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gm0m8/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gm3h5","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","119","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 1","Box_7_Folder_1","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gm3h5/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gm5xb","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","120","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 2","Box_7_Folder_2","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gm5xb/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gm67g","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","121","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 3","Box_7_Folder_3","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gm67g/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gm6np","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","122","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 4","Box_7_Folder_4","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gm6np/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gm8qp","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","123","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 5","Box_7_Folder_5","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gm8qp/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gm8xs","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","124","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 6","Box_7_Folder_6","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gm8xs/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmb0s","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","125","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 7","Box_7_Folder_7","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmb0s/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmb7d","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","126","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 8","Box_7_Folder_8","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmb7d/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmbp4","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","127","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 9","Box_7_Folder_9","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmbp4/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmd0r","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","128","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 10","Box_7_Folder_10","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmd0r/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmd9d","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","129","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 11","Box_7_Folder_11","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmd9d/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmdj1","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","130","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 12","Box_7_Folder_12","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmdj1/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmfzq","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","131","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 13","Box_7_Folder_13","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmfzq/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmgcd","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","132","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 14","Box_7_Folder_14","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmgcd/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmgt4","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","133","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 15","Box_7_Folder_15","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmgt4/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmh1q","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","134","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 16","Box_7_Folder_16","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmh1q/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmjjz","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","135","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 17","Box_7_Folder_17","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmjjz/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmkrj","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","136","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 18","Box_7_Folder_18","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmkrj/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmm0n","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","137","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 19","Box_7_Folder_19","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmm0n/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmm57","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","138","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 20","Box_7_Folder_20","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmm57/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmmcb","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","139","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 21","Box_7_Folder_21","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmmcb/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmmw3","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","140","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 22","Box_7_Folder_22","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmmw3/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmnct","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","141","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 23","Box_7_Folder_23","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmnct/manifest"
