Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Author,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Language,Rights.publicationStatus,Subject,Relation.isPartOf,Name.subject,Name.illustrator,Name.creator,Name.photographer,Coverage.geographic,Name.repository,Name.engraver,Name.printer,Title,Description.note,Alt ID.local,Date.normalized,Date.creation,AltTitle.other,Description.caption,Format.dimensions,Format.extent,Description.contents,Publisher.placeOfOrigin,Alt ID.oclc,Publisher.publisherName,Description.caption,AltTitle.translated,Opac url,AltTitle.uniform,Description.tableOfContents
Rare Books (YRL Special Collections),ark:/21198/zz00095009,,2,Completed,Collection,,,,,,,,,private,,,,,,,,,,,,,,,,,Rare Books (YRL Special Collections),Collection is images of illustrations and text from various books in Rare Books.  NOT ENTIRE BOOKS.Method: Create new manuscript for book then add images as pages under that book record.,,,,,,,,,,,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009b7tb,ark:/21198/zz00095009,2,Completed,Work,,,,,,,paged,,private,,,unknown,,,,"Detective and mystery stories, American--Periodicals",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,Black Mask,"Bimonthly, May 1943-Monthly, 19 -1943",PS648.D4 B53,,,,,,,This is collection level record.  Create page level records under this collection level record for images of covers.Add name as subject for writers whose names appear on the cover.,New York,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3786559|~|https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3786560,,
Rare Books (YRL Special Collections),ark:/21198/zz0009b7wc,ark:/21198/zz00095009,2,Completed,Work,,,,,,"Laurie, André, 1844-1909",paged,,private,,,unknown,Books and fine printing,eng,,,"Rare Books Collection.  Department of Special Collections, Charles E. Young Research Library, UCLA",,,,,,"University of California, Los Angeles. $b Library Special Collections",,,The Conquest of the Moon : a story of the Bayouda / by A. Laurie ; with numerous illustrations,"Special Collections copy binding: Blue publisher’s cloth, stamped in gilt.",PQ2269 .G91 C7,1889,1889,The Conquest of the Moon : a story of the Bayouda,,20 cm.,"x, 354 p., [24] leaves of plates : ill.",,London,54525556,"Sampson Low, Marston, Searle & Rivington",,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009b7xw,ark:/21198/zz00095009,2,Completed,Work,,,,,,"Uzanne, Octave, 1852-1931|~|Robida, Albert, 1848-1926",paged,,private,,,unknown,Books and fine printing,fre,,Erotic literature.|~|Stencil work--Specimens|~|Bibliomania.,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,"Contes pour les bibliophiles, par Octave Uzanne et A. Robida ...",Title vignette in colors.|~|Limited edition of 1000 numbered copies ; Stack Annex copy is no. 354.,Z992.U99co,1894/1895,1895 [1894],,,30 cm.,"2 p. L., iv, 230 p., 1 L. illus., col. plates, facsims. in colors.",,Paris,06276138,Librairies-imprimeries réunies,,,,,"Un almanach des muses de 1789.--L’héritage Sigismond.--Le bibliothécaire van der Boëcken, de Rotterdam.--Un roman de chevalerie franco-japonais.--Les romantiques inconnus.--Le carnet de notes de Napoléon Ier.--La fin des livres.--Poudrière et bibliothèque.--L’enfer du chevalier de Kérhany.--Les estrennes du poète Scarron.--Histoires de momies: récits authentiques."
Rare Books (YRL Special Collections),ark:/21198/zz0009b7zd,ark:/21198/zz00095009,2,Completed,Work,,,,,,,paged,,private,,,unknown,,eng,,Land subdivision--California--Coachella Valley,"Rare Books Collection.  Department of Special Collections, Charles E. Young Research Library, UCLA",,,"Jonas, Charles H.",,Coachella Valley (Calif.)--Pictural works,"University of California, Los Angeles. $b Library Special Collections",,,"The Walled oasis of Biskra ""in the Coachella Valley"" : an interpretation of the American Desert in the Algerian manner",,F868 R6 W15,1927/1929,[1928],,,30 cm.,[16]p. : ill.,,"Los Angeles, Calif.",09713251,,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009b8bk,ark:/21198/zz00095009,2,Completed,Work,,,,,,"Parkinson, Sydney, 1745?-1771",paged,,private,,,pd,,eng,,,"Rare Books Collection.  Department of Special Collections, Charles E. Young Research Library, UCLA",Endeavour (Ship),,,,Oceania--Description and travel,"University of California, Los Angeles. $b Library Special Collections",,,"A journal of a voyage to the South seas, in His Majesty’s ship the Endeavor...[1784]","Full title:A journal of a voyage to the South seas, in His Majesty’s ship the Endeavor: faithfully transcribed from the papers of the late Sydney Prksin, draughstman to Sir Joseph Banks, bart. in his expedition with Dr. Solander round the world ... To which is now added, Remarks on the preface, by the late John Fothergill ... and an appendix, containing an account of the voyages of Commodore Byron, Captain Wallis, Captain Carteret, Monsieur Bougainville, Captain Cook, and Captain Clerke",G247 A11 P2 1784,1784,1784,,,29 cm.,"1 p. l., xxiii, 22, 212, lxxi, [213]-353 p. : front. (port.) plates, maps.",,London,21640776,Printed for C. Dilly [etc.],,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009b8c3,ark:/21198/zz00095009,2,Completed,Work,,,,,,"Martainville, A. (Alphonse), 1776-1830",paged,,private,,,pd,Fictitious imprints (Publishing),fre,,Defecation--Humor,"Rare Books Collection.  Department of Special Collections, Charles E. Young Research Library, UCLA",,,,,,"University of California, Los Angeles. $b Library Special Collections",,"Gueffier, P.","Merdiana, ou, Manuel des chieurs : recueil propre à certain usage","Fictitious imprint; probably published in Paris, where the printer Gueffier was located.|~|Author identified in Barbier. Cf. his Dict. des ouvrages anonymes, v. 3, col. 273.|~|Spec. Coll. copy: Half leather, brown marbled paper over boards; all edges marbled. Lacking final blank leaf. Gift, Charles Boyer.|~|Cinquième édition.",Z233 M3 M37 1816,1816,1816,Merdiana|~|Manuel des chieurs,,10 cm. (16mo),"128 p., [1] leaf of plates : col. ill.",,Paris,,Merdianopolis : Au Bureau des Vidangeurs,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009b8dm,ark:/21198/zz00095009,2,Completed,Work,,,,,,,paged,,private,,,unknown,,fre,,Color|~|Design|~|Decoration and ornament,"Rare Books Collection.  Department of Special Collections, Charles E. Young Research Library, UCLA",,,"Burkhalter, Jean",,,"University of California, Los Angeles. $b Library Special Collections",,,Jean Burkhalter. Collection Décors et couleurs Album No. 2.,Purchased with funds from the Kenneth Karmiole Endowment for Rare Books and Manuscripts.,SCB 162334**,1919/1930,circa 1920,Soixante-dix motifs décoratifs en dix-huit planches,,39 cm.,18 col. plates.,,Paris,63982064,Albert Levy,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009b8f4,ark:/21198/zz00095009,2,Completed,Work,,,,,,,paged,,private,,,unknown,,fre,,Caricatures and cartoons--France|~|Caricatures and cartoons--Periodicals,"Rare Books Collection.  Department of Special Collections, Charles E. Young Research Library, UCLA",,,,,,"University of California, Los Angeles. $b Library Special Collections",,,"Psst! Images par Forain, Caran d’Ache",1.-2. année (no.1-85); 5 fév. 1898-16 sept. 1899.,NC1499 F74p,1898/1899,1898-1899,,,42 cm.,2 v. in 1 : illus.,,Paris,01203113,Plon [1898-99],,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009b8h5,ark:/21198/zz00095009,2,Completed,Work,,,,,,,paged,,private,,,pd,census maps,eng,published,Ethnology--California--Los Angeles--Statistics--Maps,"Rare Books Collection.  Department of Special Collections, Charles E. Young Research Library, UCLA|~|California Cultures (CDL Project)",,,,,Los Angeles (Calif.)--Population--Statistics--Maps,"University of California, Los Angeles. $b Library Special Collections",,,"Maps showing distribution of racial and national groups in the Los Angeles area, according to the 1940 United States census","2 3/4 mi. to the inch|~|All maps use the same grid, showing cities and towns in Los Angeles County, as well as boundary lines of the adjoining counties and some features and delineations of cities surrounding LA County (within the map's borders). A legend of various sized dots is given for each map, from the largest dot representing the highest population figure per dot to the smallest dot representing the smallest population figure this number varies per map. In rare cases, some population figures are represented by dots for some of the adjoining (non-LA County) cities",HB3037 L7A5 1940,1943,1943,,,67 x 47 cm.,14 maps,,,,Los Angeles (Calif.). City Planning Commission.,,,,,
Rare Books (YRL Special Collections),ark:/21198/zz0009b8jp,ark:/21198/zz00095009,2,Completed,Work,,,,,,,paged,,private,,,,,por|~|spa|~|fre|~|ita,,,"Rare Books Collection.  Department of Special Collections, Charles E. Young Research Library, UCLA","Delgado y Gálvez, José, 1754-1801",,"Tijera, José de la",,,"University of California, Los Angeles. $b Library Special Collections",,,Copia de Carta en que un amigo refiere a otro con exactitud el hecho...,"Full Title: Copia de Carta en que un amigo refiere a otro con exactitud el hecho...relativo á la muerte del memorable lidiada Joseph Delgado, renombrado Hillo, causada por el séptimo toro de las corridas en la Plaza de Madrid, la tarde del II de Mayo de 1801; en vista de la qual...se recopilan las mas oportunas reflexîones y aún añaden otras en Verso y Prosa...|~|""El autor se dice que fué D. José de la Tijera"", Palau y Dulcet 61470. Letter signed J.T.|~|Contemporary maroon library binding.|~|Spec. Coll. copy is part of a collection (Collection 600). To page this item, use the collection record; to find the collection record, search the title: Special Collections Backlog of Uncataloged Books. Item is in box 20.",SCB_62380,1801,1801,,,21 cm.,16 p.,,Barcelona,7389755,Se hallará en la Libreria de Sastres,,,,,
