"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Subject","Name.sponsor","Language","Type.genre","Name.repository","Coverage.geographic","Name.cartographer","Name.compiler","Name.subject","Publisher.publisherName","Description.note","Title","Date.creation","Alt ID.local","Publisher.placeOfOrigin","Date.normalized","Format.extent","Relation.isPartOf","Format.dimensions","Description.abstract","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Pamphlet Maps Collection 1750-","ark:/21198/z1806m77","ark:/21198/zz001d17k9","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d17k9_756375_master.tif","1","","","still image","","","","","","","","","","","","","","Map of California","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806m77"
"Pamphlet Maps Collection 1750-","ark:/21198/z1475vg2","ark:/21198/zz001d17k9","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d17k9_756323_master.tif","2","","","still image","","","","","","","","","","","","","","Population statistics for the counties of California, Census 1952","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1475vg2"
"Pamphlet Maps Collection 1750-","ark:/21198/z10g53rq","ark:/21198/zz001d1ch6","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1ch6_756432_master.tif","1","","","still image","","","","","","","","","","","","","","Cover","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g53rq"
"Pamphlet Maps Collection 1750-","ark:/21198/z1vt39n9","ark:/21198/zz001d1ch6","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1ch6_756388_master.tif","2","","","still image","","","","","","","","","","","","","","Map of Orange County","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt39n9"
"Pamphlet Maps Collection 1750-","ark:/21198/z1r22jzb","ark:/21198/zz001d1csb","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1csb_756496_master.tif","1","","","still image","","","","","","","","","","","","","","Cover","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r22jzb"
"Pamphlet Maps Collection 1750-","ark:/21198/z1m91t71","ark:/21198/zz001d1csb","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1csb_756466_master.tif","2","","","still image","","","","","","","","","","","","","","Map of the United-States, Canada, Mexico, Central America and the West India Islands","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m91t71"
"Pamphlet Maps Collection 1750-","ark:/21198/z1gj12kk","ark:/21198/zz001d1ftt","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1ftt_756523_master.tif","1","","","still image","","","","","","","","","","","","","","Cover","","","","","","","","","","","","failed",""
"Pamphlet Maps Collection 1750-","ark:/21198/z1bs09sz","ark:/21198/zz001d1ftt","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1ftt_756512_master.tif","2","","","still image","","","","","","","","","","","","","","Routes of interurban system","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs09sz"
"Pamphlet Maps Collection 1750-","ark:/21198/z1709k1z","ark:/21198/zz001d1fxc","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1fxc_756532_master.tif","1","","","still image","","","","","","","","","","","","","","Cover","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709k1z"
"Pamphlet Maps Collection 1750-","ark:/21198/z1378t97","ark:/21198/zz001d1fxc","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1fxc_756547_master.tif","2","","","still image","","","","","","","","","","","","","","Map of Virginia City and the Comstock Lode, state of Nevada","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1378t97"
"Pamphlet Maps Collection 1750-","ark:/21198/z1zk717n","ark:/21198/zz001d1g2x","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1g2x_756568_master.tif","1","","","still image","","","","","","","","","","","","","","Cover","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk717n"
"Pamphlet Maps Collection 1750-","ark:/21198/z1tt68hx","ark:/21198/zz001d1g2x","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1g2x_756558_master.tif","2","","","still image","","","","","","","","","","","","","","Map of city and county of San Francisco California","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt68hx"
"Pamphlet Maps Collection 1750-","ark:/21198/z1q25htz","ark:/21198/zz001d1g81","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1g81_756643_master.tif","1","","","still image","","","","","","","","","","","","","","Cover","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25htz"
"Pamphlet Maps Collection 1750-","ark:/21198/z1k94s43","ark:/21198/zz001d1g81","2","Completed","Page","Masters/Maps/pamphletmaps/masters/21198-zz001d1g81_756670_master.tif","2","","","still image","","","","","","","","","","","","","","Map of California, Nevada, Utah, and Arizona","","","","","","","","","","","","failed",""
