Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Rights.copyrightStatus,Rights.countryCreation,Language,Rights.permission,Rights.rightsHolderContact,Title,AltTitle.other,Date.creation,AltTitle.descriptive,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Grolinger (Herbert) Collection,ark:/21198/z1m34hvf,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_001.tif,1,,,,,,,,,Page 1,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34hvf,
Grolinger (Herbert) Collection,ark:/21198/z1gb3s5k,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_002.tif,2,,,,,,,,,Page 2,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb3s5k,
Grolinger (Herbert) Collection,ark:/21198/z1bk31h4,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_003.tif,3,,,,,,,,,Page 3,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk31h4,
Grolinger (Herbert) Collection,ark:/21198/z16t28v9,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_004.tif,4,,,,,,,,,Page 4,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t28v9,
Grolinger (Herbert) Collection,ark:/21198/z1321j3v,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_005.tif,5,,,,,,,,,Page 5,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321j3v,
Grolinger (Herbert) Collection,ark:/21198/z1z911jn,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_006.tif,6,,,,,,,,,Page 6,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z911jn,
Grolinger (Herbert) Collection,ark:/21198/z1tj08tx,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_007.tif,7,,,,,,,,,Page 7,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj08tx,
Grolinger (Herbert) Collection,ark:/21198/z1pv87gx,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_008.tif,8,,,,,,,,,Page 8,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv87gx,
Grolinger (Herbert) Collection,ark:/21198/z1k37grh,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_009.tif,9,,,,,,,,,Page 9,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37grh,
Grolinger (Herbert) Collection,ark:/21198/z1fb6r33,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_010.tif,10,,,,,,,,,Page 10,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb6r33,
