File,Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,Filename,File Name,Item Sequence,IIIF Access URL,Rights.copyrightStatus,Subject,Subject.uniformTitle,Name.subject,Rights.countryCreation,Language,Name.repository,Type.typeOfResource,Rights.permission,Name.creator,Name.interviewer,Type.genre,Name.sponsor,Date.creation,Date.normalized,Relation.isPartOf,Title,AltIdentifier.local,Description.note,Description.note.FromLisa,Opac url,Description.fundingNote,Finding Aid URL,Format.extent,Summary,Rights.servicesContact,Coverage.geographic,Description.latitude,Description.longitude,Relation.relatedTo,media.duration,media.format,IIIF Manifest URL,Waveform
soul_eureka.csv,"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvwr6,ark:/21198/zz0015w1xw,2,Completed,Work,,soul/audio/uclapasc_342_057_001_M_a.wav,8,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vw/r6/21198=zz002dvwr6/ark%2B=21198=zz002dvwr6.mp4{},copyrighted,,,,,eng,"University of California, Los Angeles. Library. Department of Special Collections",sound recording,Y,,,sound recording,,1969 February 24,1969-02-24,"SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.",Interviews with Isaac Hayes and Calvin Lockhart,uclapasc_342_057_001,"Transcribed from container: ""Smokey Robinson at the Century Plaza""

It is unclear who the speaker is on side A. They talk about growing up queer and being questioned about their sexuality. They also talk about being a a drum major and performing music. At 2:28, the initial interview cuts off and goes into an interview with Isaac Hayes. Hayes discusses a Sam Marcos cover of AIP; getting poor financial advice; being advised to sue Stax Records; having financial issues with his new contract with ABC; Jim Magazine framing him as a spendthrifty amidst his financial hardship; being investigated by the IRS; the Black Moses image; whether he feels his music is ""Black music""; and how he feels about the new label handling his work. 

On side B, Calvin Lockhart discusses being Bahamian, his kinship to Black American people, the film Joanna, other films he's acted in, and the profits made from the film Shaft.|~|Collection PASC 342, Box 57",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg,(1 audiocassette; Duration: 00:30:59),,"Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.","Century City (Los Angeles, Calif.)",34.057432728549244,-118.41582655906677,,1859.060021,audio/wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvwr6/manifest,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz002dvwr6%2Faudiowaveform.dat
soul_eureka.csv,"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvwsq,ark:/21198/zz0015w1xw,2,Completed,Work,,,9,,copyrighted,,,"Braun, Mark Lincoln",,eng,"University of California, Los Angeles. Library. Department of Special Collections",sound recording,Y,,,sound recording,,undated,1955/2002,"SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Mr. B (i.e. Mark Lincoln Braun) #1 and Mr. B #2, undated",uclapasc_342_057_002,"Collection PASC 342, Box 57",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg,(1 audiocassette; Duration: 01:05:15),,"Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvwsq/manifest,
soul_eureka.csv,"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvwt7,ark:/21198/zz0015w1xw,2,Completed,Work,,,10,,copyrighted,,,"Davis, Sammy, 1925-1990|~|Braun, Mark Lincoln",,eng,"University of California, Los Angeles. Library. Department of Special Collections",sound recording,Y,,,sound recording,,circa 1979 August,1979-08,"SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Interviews with Mark Lincoln Braun (tape 2 of 2) and Sammy Davis, Jr.",uclapasc_342_057_003,"Transcribed from container: ""Mr. B (i.e. Mark Lincoln Braun) #3 and Sammy D. (i.e. Sammy Davis, Jr.), August 1979."" 

On side A, Mark Lincoln Braun talks about people who have have been influential in his career; producing Sarah Vaughn; what his goals are in this stage of his career; artists he feels have the potential for longevity; his kids; his future goals; his proudest career moment; and what direction he sees music going. 

On side B, there is static, and the tape begins at 8:50. Sammy Davis, Jr. talks about his major influences, such as Billy Eckstein, Frank Sinatra, Al McCibben, and the Nicholar Brothers; and his favorite Eckstein story. |~|Collection PASC 342, Box 57",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg,(1 audiocassette; Duration: 01:05:57),,"Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvwt7/manifest,
soul_eureka.csv,"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvwvr,ark:/21198/zz0015w1xw,2,Completed,Work,,,11,,copyrighted,,,"Knight, Gladys, $d 1944-|~|Gladys Knight and the Pips",,eng,"University of California, Los Angeles. Library. Department of Special Collections",sound recording,Y,,,sound recording,,circa 1980 April,1980-04,"SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.",Interview with Gladys Knight and the Pips,uclapasc_342_057_004,"Transcribed from container: ""Gladys Knight & the Pips, April 1980."" 

On side A Gladys Knight and the Pips talks about changing representation by Casablanca. The Pips are now ""Gladys Knight and the Pips"" under CBS. They discuss business decisions made my lawyers to benefit the togetherness of the groups, album success and sales of the groups, 
On side B, Knight talks about going to The Flamingo and seeing groups, such as Glen Smith and the Fables (a Canadian group); producing a project with Colombia Records; producing Glen; and what she thinks of Sundre Sing. Regina, Gladys, and The pips discuss Hero expectations of artists and the assumptions of fans, maintaining one's integrity, Gladys's album Imagination, Glady's idea to gather staple artists to put on a gospel program, because ""that't where we came from"", the conclude discuss where they are living and the base they were able to produce in Vegas.|~|Collection PASC 342, Box 57",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg,(1 audiocassette; Duration: 01:34:56),,"Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvwvr/manifest,
soul_eureka.csv,"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvww8,ark:/21198/zz0015w1xw,2,Completed,Work,,,12,,copyrighted,,,"Ross, Diana, $d 1944-",,eng,"University of California, Los Angeles. Library. Department of Special Collections",sound recording,Y,,,sound recording,,circa 1970,1970,"SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.",Interview with Diana Ross and attendees about the Diana Ross Show,uclapasc_342_057_005,"Transcribed from container: ""Diana Ross Show, Vegas 1970."" 

On side A, the recording begins with a KGMJ Soulradio announcement about the Jackson 5. The recording then moves to Diana Ross, who sings and talks about how the production has been her dream since she was young.  

On side B, different audience members give their take of the show and how they feel about Diana Ross's first solo performance since leaving the Supremes. Diana Ross also speaks on her performance and booking gigs for the Jackson 5.|~|Collection PASC 342, Box 57",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg,(1 audiocassette; Duration: 00:57:46),,"Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",Las Vegas (Nev.),36.175,-115.136389,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvww8/manifest,
soul_eureka.csv,"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvwxs,ark:/21198/zz0015w1xw,2,Completed,Work,,,13,,copyrighted,,,"Franklin, Carolyn",,eng,"University of California, Los Angeles. Library. Department of Special Collections",sound recording,Y,,,sound recording,,circa 1970,1970,"SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.",Carolyn Franklin,uclapasc_342_057_006,"Transcribed from container: ""Carolyn Franklin, 1970s?"" 

There is content on side A and B.|~|Collection PASC 342, Box 57",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg,(1 audiocassette; Duration: 01:04:38),,"Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvwxs/manifest,
soul_eureka.csv,"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvwz9,ark:/21198/zz0015w1xw,2,Completed,Work,,,14,,copyrighted,,,"Davis, Sammy, 1925-1990",,eng,"University of California, Los Angeles. Library. Department of Special Collections",sound recording,Y,,,sound recording,,1970 December 20,1970-12-20,"SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Sammy Davis Jr., Vegas",uclapasc_342_057_007,"Transribed from container: ""Sammy Davis Jr., Vegas, December 20 1970."" 

There is content on side A and B.|~|Collection PASC 342, Box 57",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg,(1 audiocassette; Duration: 00:53:55),,"Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",Las Vegas (Nev.),36.10320862309423,-115.17362594604492,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvwz9/manifest,
soul_eureka.csv,"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvx09,ark:/21198/zz0015w1xw,2,Completed,Work,,,15,,copyrighted,,,"King, B. B.",,eng,"University of California, Los Angeles. Library. Department of Special Collections",sound recording,Y,,,sound recording,,circa 1970 January,1970-01,"SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.",Interview with B.B. King,uclapasc_342_057_008,"Transcribed from container: ""B.B. King, January 1970."" 

On side A, the recording begins with a phone call. The interview with B.B. King begins at 3:30. King talks about growing up in Mississippi; how he got into music; working on a farm to avoid being shipped to the war; moving to Memphis; and starting his gigs on the road. 

On side B, King talks about getting gigs; becoming well recognized in Memphis; and seeing the rise of artists, like Roosevelt Sikes, Joe Liggens, Charles Brown, and T-Bone Walker. He also discusses his experience recording Martha King and Take a Swing with Me; signing his first contract with Modern Record Company in 1949; the evolution of music techinology; and the instruments primarily uses on tracks. He share his opinion on the discovery of Black music; how people have paved the way for white artists to steal from those artists; what the Blues is; when he thinks he'll have national success; Ike and Tina Turner; and his rise to being accepted as an artist. At 19:08, the interview cuts off, then returns.|~|Collection PASC 342, Box 57",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg,(1 audiocassette; Duration: 01:05:56),,"Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvx09/manifest,
soul_eureka.csv,"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvx1t,ark:/21198/zz0015w1xw,2,Completed,Work,,,16,,copyrighted,,,"Tyson, Cicely",,eng,"University of California, Los Angeles. Library. Department of Special Collections",sound recording,Y,,,sound recording,Jamaica Film Festival,"September 1, 7, and 19, 1972",1972-09-01/1972-09-19,"SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Interviews with participants at the Jamaica Film Festival, Cicely Tyson, and David Ruffen by Ken Jones",uclapasc_342_057_009,"Transcribed from container: ""Cicely Tyson and Jamaica Film Festival, September 1972."" 

On side A, Ken Jones interviews American and Carribean actors and participants of the first annual Jamaican Film Festival. Sam Greenely, Calvin Lockhart, Paula Kelly, Brock Peters, Bernie Casey, Grace McGee, Cicely Tyson, Stan Lathan, Richard Murcia, and Bernie Masey win awards. At 30:30, the tape cuts to Cicely Tyson's interview; this interview is the same as the recording on side A of uclapasc0342_060_008. 

On side B, Ken Jones interviews David Ruffen about his success since leaving the Temptations and songs on his new album. At 4:15, the recording goes back to Cicely Tyson's interview, which is the same as the recording on side B of uclapasc0342_060_008.|~|Collection PASC 342, Box 57",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg,(1 audiocassette; Duration: 01:04:35),,"Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",Kingston (Jamaica),,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvx1t/manifest,
soul_eureka.csv,"SOUL Publications, Inc. records, 1955-2002",ark:/21198/zz002dvx2b,ark:/21198/zz0015w1xw,2,Completed,Work,,,18,,copyrighted,,,"Wonder, Stevie",,eng,"University of California, Los Angeles. Library. Department of Special Collections",sound recording,Y,,,sound recording,,circa 1960,1960,"SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.",Interview with Stevie Wonder,uclapasc_342_057_010,"Transcribed from container: ""Stevie Wonder ca. 1960s."" 

On side A, Stevie Wonder talks about how he started at Motown; what he was doing before and his experience as a child star; his experience with blindness; how he develops impressions of people. He also talks about his reputation as a 19 year old; his girlfriend and being an open relationship; and how Barry Gordy gave him his stage name. Wonder leaves to answer a phone call at 19:32, and returns to the interview at 26:10; he also leaves to answer calls at 30:00 and 53:25.|~|Collection PASC 342, Box 57",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6651464,Access to this collection is generously supported by Arcadia funds.,http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg,(1 audiocassette; Duration: 01:23:55),,"Property rights to the physical objects belong to UCLA Library Special Collections. All other rights, including copyright, are retained by the creators and their heirs. It is the responsibility of the researcher to determine who holds the copyright and pursue the copyright owner or his or her heir for permission to publish where The UC Regents do not hold the copyright. Please visit our website for information about Library Special Collections' duplication and permissions policy.",,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvx2b/manifest,
