Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.creator,Name.subject,Name.contributor,Rights.servicesContact,Language,Type.genre,Subject,Rights.notice,Name.repository,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.creation,Date.normalized,Description.caption,Description.note,Description.abstract,Date.publication,IIIF Manifest URL
Faderman (Lillian) Collection,ark:/21198/zz0017m28s,ark:/21198/zz000s2z7w,2,Completed,Work,,5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m299,text,copyrighted,N,unpublished,,,"Guarnaschelli, Maria",,"Faderman, Lillian|~|William Morrow and Company, Inc.",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History,,,individuals,,private,,Letter Regarding Book Prospectus,"February 8, 1979",1979-02-08,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m28s/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m2bt,ark:/21198/zz000s2z7w,2,Completed,Work,,6,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m2cb,text,copyrighted,N,unpublished,,,"Guarnaschelli, Maria",,"Faderman, Lillian|~|Dijkstra, Sandra|~|William Morrow and Company, Inc.",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History,,,individuals,,private,,Letter Regarding Manuscript and Advance,"April 17, 1979",1979-04-17,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m2bt/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m2fc,ark:/21198/zz000s2z7w,2,Completed,Work,,9,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m2gw,text,copyrighted,N,unpublished,,,"Guarnaschelli, Maria",,"Faderman, Lillian|~|William Morrow and Company, Inc.",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History,,,individuals,,private,,Letter Regarding Publishing Date,"January 31, 1980",1980-01-31,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m2fc/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m2hd,ark:/21198/zz000s2z7w,2,Completed,Work,,10,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m2jx,text,copyrighted,N,unpublished,,,"Guarnaschelli, Maria",,"Faderman, Lillian|~|William Morrow and Company, Inc.",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History,,,individuals,,private,,Letter Regarding Copyeditor and Photographs,"June 6, 1980",1980-06-06,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m2hd/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m2mz,ark:/21198/zz000s2z7w,2,Completed,Work,,16,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m2ng,text,copyrighted,N,unpublished,,,"Guarnaschelli, Maria",,"Faderman, Lillian|~|William Morrow and Company, Inc.",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History,,,individuals,,private,,Letter Regarding Responses to Manuscript,"November 25, 1980",1980-11-25,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m2mz/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m2p0,ark:/21198/zz000s2z7w,2,Completed,Work,,11,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m2qh,text,copyrighted,N,unpublished,,,"Dijkstra, Sandra",,"Faderman, Lillian|~|William Morrow and Company, Inc.|~|Guarnaschelli, Maria",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History,,,individuals,,private,,Letter Regarding Printing and Distribution,"September 18, 1980",1980-09-18,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m2p0/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m2sj,ark:/21198/zz000s2z7w,2,Completed,Work,,17,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m2t2,text,copyrighted,N,unpublished,,,"Guarnaschelli, Maria",,"Faderman, Lillian|~|William Morrow and Company, Inc.|~|Gearhart, Sally M.",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History,,,individuals,,private,,Letter Regarding Review in Publisher's Weekly,"January 27, 1981",1981-01-27,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m2sj/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m2vk,ark:/21198/zz000s2z7w,2,Completed,Work,,20,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m2w3,text,copyrighted,N,unpublished,,,"Guarnaschelli, Maria",,"Faderman, Lillian|~|William Morrow and Company, Inc.",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History,,,individuals,,private,,Letter Regarding Book Distribution,"March 02, 1981",1981-03-02,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m2vk/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m31n,ark:/21198/zz000s2z7w,2,Completed,Work,,21,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m388,text,copyrighted,N,unpublished,,,"Dijkstra, Sandra",,"Faderman, Lillian|~|William Morrow and Company, Inc.|~|Guarnaschelli, Maria",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History,,,individuals,,private,,Letter Regarding Advertising Campaign,"March 31, 1981",1981-03-31,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m31n/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m3b9,ark:/21198/zz000s2z7w,2,Completed,Work,,22,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m3ct,text,copyrighted,N,unpublished,,,"Dijkstra, Sandra",,"Faderman, Lillian|~|William Morrow and Company, Inc.",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,,individuals,,private,,Letter Regarding Feature in William Morrow Company Catalog,"April 14, 1981",1981-04-14,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m3b9/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m3db,ark:/21198/zz000s2z7w,2,Completed,Work,,24,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m3fv,text,copyrighted,N,unpublished,,,"Dijkstra, Sandra",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,,individuals,,private,,Letter Regarding Recommendations for PR and Editing,"April 25, 1981",1981-04-25,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m3db/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m3gc,ark:/21198/zz000s2z7w,2,Completed,Work,,25,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m3hw,text,copyrighted,N,unpublished,,,"Guarnaschelli, Maria",,"Faderman, Lillian|~|William Morrow and Company, Inc.",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History,,,individuals,,private,,Letter Regarding Advertising Campaigns and Sales,"April 29, 1981",1981-04-29,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m3gc/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m3kx,ark:/21198/zz000s2z7w,2,Completed,Work,,26,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m3mf,text,copyrighted,N,unpublished,,,"Guarnaschelli, Maria",,"Faderman, Lillian|~|William Morrow and Company, Inc.",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History,,,individuals,,private,,Letter Regarding Reviews,"May 08, 1981",1981-05-08,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m3kx/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017m3nz,ark:/21198/zz000s2z7w,2,Completed,Work,,34,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017m3pg,text,copyrighted,N,unpublished,,,"Guarnaschelli, Maria",,"Faderman, Lillian|~|Moses, Claire Goldberg|~|Feminist Studies Journal|~|William Morrow and Company, Inc.",,,eng,letters (correspondence),Correspondence and Information - Agents and Publishers|~|Lesbians--History|~|Lesbians in literature--History,,,individuals,,private,,Letter Regarding Ad In Feminist Studies journal,"August 31, 1981",1981-08-31,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m3nz/manifest
