File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,local ID,Creator,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Abstract,Note.content,Institution/Repository,Subject.place,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_001.tif,Page,Page 1,1,ark:/21198/z1z0548q,ark:/21198/z1156ccp,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156ccp
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_002.tif,Page,Page 2,2,ark:/21198/z1z0548q,ark:/21198/z1wd5vt3,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5vt3
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_003.tif,Page,Page 3,3,ark:/21198/z1z0548q,ark:/21198/z1rn5435,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5435
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_004.tif,Page,Page 4,4,ark:/21198/z1z0548q,ark:/21198/z1mw4cfb,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw4cfb
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_005.tif,Page,Page 5,5,ark:/21198/z1z0548q,ark:/21198/z1h72b19,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h72b19
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_006.tif,Page,Page 6,6,ark:/21198/z1z0548q,ark:/21198/z1cg1kcg,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg1kcg
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_007.tif,Page,Page 7,7,ark:/21198/z1z0548q,ark:/21198/z17q0tr3,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0tr3
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_008.tif,Page,Page 8,8,ark:/21198/z1z0548q,ark:/21198/z13z02zv,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z02zv
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_009.tif,Page,Page 9,9,ark:/21198/z1z0548q,ark:/21198/z1059b6v,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1059b6v
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_010.tif,Page,Page 10,10,ark:/21198/z1z0548q,ark:/21198/z1vd8tpq,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8tpq
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_011.tif,Page,Page 11,11,ark:/21198/z1z0548q,ark:/21198/z1qn8324,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn8324
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_012.tif,Page,Page 12,12,ark:/21198/z1z0548q,ark:/21198/z1m061np,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m061np
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_013.tif,Page,Page 13,13,ark:/21198/z1z0548q,ark:/21198/z1g75908,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g75908
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_014.tif,Page,Page 14,14,ark:/21198/z1z0548q,ark:/21198/z1bg4jbf,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg4jbf
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_015.tif,Page,Page 15,15,ark:/21198/z1z0548q,ark:/21198/z16q3sjt,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q3sjt
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_016.tif,Page,Page 16,16,ark:/21198/z1z0548q,ark:/21198/z12z31s1,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z31s1
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_017.tif,Page,Page 17,17,ark:/21198/z1z0548q,ark:/21198/z1z62j8m,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z62j8m
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_018.tif,Page,Page 18,18,ark:/21198/z1z0548q,ark:/21198/z1tf1sms,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1sms
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_019.tif,Page,Page 19,19,ark:/21198/z1z0548q,ark:/21198/z1pr9r7b,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pr9r7b
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss18_Feb1943_020.tif,Page,Page 20,20,ark:/21198/z1z0548q,ark:/21198/z1k090mn,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k090mn
