File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,local ID,Creator,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Abstract,Note.content,Institution/Repository,Subject.place,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_001.tif,Page,Page 1,1,ark:/21198/z10z8zf0,ark:/21198/z18w58mm,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w58mm
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_002.tif,Page,Page 2,2,ark:/21198/z10z8zf0,ark:/21198/z1544ht9,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1544ht9
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_003.tif,Page,Page 3,3,ark:/21198/z10z8zf0,ark:/21198/z11c3s2j,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3s2j
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_004.tif,Page,Page 4,4,ark:/21198/z10z8zf0,ark:/21198/z1wm38mp,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm38mp
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_005.tif,Page,Page 5,5,ark:/21198/z10z8zf0,ark:/21198/z1rv2j0q,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2j0q
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_006.tif,Page,Page 6,6,ark:/21198/z10z8zf0,ark:/21198/z1n60gn5,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n60gn5
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_007.tif,Page,Page 7,7,ark:/21198/z10z8zf0,ark:/21198/z1hd9r06,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9r06
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_008.tif,Page,Page 8,8,ark:/21198/z10z8zf0,ark:/21198/z1cn906z,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn906z
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_009.tif,Page,Page 9,9,ark:/21198/z10z8zf0,ark:/21198/z17w87db,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w87db
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_010.tif,Page,Page 10,10,ark:/21198/z10z8zf0,ark:/21198/z1447gpx,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1447gpx
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_011.tif,Page,Page 11,11,ark:/21198/z10z8zf0,ark:/21198/z10c6r02,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6r02
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_012.tif,Page,Page 12,12,ark:/21198/z10z8zf0,ark:/21198/z1vm67j6,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm67j6
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_013.tif,Page,Page 13,13,ark:/21198/z10z8zf0,ark:/21198/z1qz466r,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz466r
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_014.tif,Page,Page 14,14,ark:/21198/z10z8zf0,ark:/21198/z1m63fkp,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m63fkp
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_015.tif,Page,Page 15,15,ark:/21198/z10z8zf0,ark:/21198/z1gf2ps2,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2ps2
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_016.tif,Page,Page 16,16,ark:/21198/z10z8zf0,ark:/21198/z1bp1z19,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp1z19
