Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Thumbnail,Type.typeOfResource,Type.genre,Subject,Name.repository,Name.creator,Name.subject,Subject geographic,Name.photographer,Rights.statementLocal,Rights.copyrightStatus,Date.creation,Date.normalized,Alt ID.local,Description.note,Subject temporal,Title,AltTitle.descriptive,Coverage.geographic,AltTitle.uniform,AltIdentifier.local,Language,Description.latitude,Description.longitude,Relation.isPartOf,Format.dimensions,Format.medium ,Format.extent,AltTitle.creator,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/4q08hr5j,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255526_master.tif,13,,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2F4q08hr5j,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/57873g2h,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255303_master.tif,7,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2F57873g2h,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/5x80cz75,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255529_master.tif,14,,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2F5x80cz75,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/6c96qz6m,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255306_master.tif,8,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2F6c96qz6m,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/6z592t8n,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255291_master.tif,3,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2F6z592t8n,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/7486b25n,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255277_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2F7486b25n,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/7653cd5m,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255577_master.tif,27,,,,,,,,,,,,,,,,,,,,Page 27,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2F7653cd5m,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/7r817965,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255312_master.tif,10,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2F7r817965,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/8f285b4h,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255532_master.tif,15,,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2F8f285b4h,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/8t451c1g,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255288_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2F8t451c1g,
