"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","viewingHint","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Name.repository","Subject","Name.printer","Name.creator","Editor","Type.genre","Author","Title","Representative image","Masthead","Date.creation","Format.extent","Description.note","Publisher.publisherName","Date.normalized","Format.dimensions","AltTitle.uniform","Description.abstract","AltIdentifier.OPAC","AltTitle.other","AltIdentifier.oclc","Place of origin","Local identifier","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Solinus (C. Iulius) De situ orbis terrarum ","ark:/21198/zz00098b6k","ark:/21198/zz00098b52","Page","solinus/masters/21198-zz00098b6k-1-master.tif","1","","","text","pd","","","","","","","","front cover","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098b6k",""
"Solinus (C. Iulius) De situ orbis terrarum ","ark:/21198/zz00098b73","ark:/21198/zz00098b52","Page","solinus/masters/21198-zz00098b73-1-master.tif","2","","","text","pd","","","","","","","","haec continentur","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098b73",""
"Solinus (C. Iulius) De situ orbis terrarum ","ark:/21198/zz00098b8m","ark:/21198/zz00098b52","Page","solinus/masters/21198-zz00098b8m-1-master.tif","3","","","text","pd","","","","","","","","Clarelius Lupus","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098b8m",""
"Solinus (C. Iulius) De situ orbis terrarum ","ark:/21198/zz00098b94","ark:/21198/zz00098b52","Page","solinus/masters/21198-zz00098b94-1-master.tif","4","","","text","pd","","","","","","","","TABULA","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098b94",""
"Solinus (C. Iulius) De situ orbis terrarum ","ark:/21198/zz00098bbn","ark:/21198/zz00098b52","Page","solinus/masters/21198-zz00098bbn-1-master.tif","5","","","text","pd","","","","","","","","Boa anguis","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098bbn",""
"Solinus (C. Iulius) De situ orbis terrarum ","ark:/21198/zz00098bc5","ark:/21198/zz00098b52","Page","solinus/masters/21198-zz00098bc5-1-master.tif","6","","","text","pd","","","","","","","","Crocodilli","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098bc5",""
"Solinus (C. Iulius) De situ orbis terrarum ","ark:/21198/zz00098bdp","ark:/21198/zz00098b52","Page","solinus/masters/21198-zz00098bdp-1-master.tif","7","","","text","pd","","","","","","","","Formicæ aurum","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098bdp",""
"Solinus (C. Iulius) De situ orbis terrarum ","ark:/21198/zz00098bf6","ark:/21198/zz00098b52","Page","solinus/masters/21198-zz00098bf6-1-master.tif","8","","","text","pd","","","","","","","","Lapidarii campi","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098bf6",""
"Solinus (C. Iulius) De situ orbis terrarum ","ark:/21198/zz00098bgq","ark:/21198/zz00098b52","Page","solinus/masters/21198-zz00098bgq-1-master.tif","9","","","text","pd","","","","","","","","Nilides lacus","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098bgq",""
"Solinus (C. Iulius) De situ orbis terrarum ","ark:/21198/zz00098bh7","ark:/21198/zz00098b52","Page","solinus/masters/21198-zz00098bh7-1-master.tif","10","","","text","pd","","","","","","","","Quando uniones","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098bh7",""
