"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Language","Rights.publicationStatus","Subject.conceptTopic","Name.contributor","Type.genre","Title","Date.normalized","Date.creation","AltTitle.uniform","Alt ID.oclc","Description.note","Alt ID.OPAC","Publisher.placeOfOrigin","Publisher.publisherName","Format.extent","Alt ID.lccn","Relation.isPartOf"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","","2","Completed","Collection","","","","","text","pd","spa","published","Working class $z Argentina $v Periodicals|~|Labor unions $z Argentina $v Periodicals|~|Communism $z Argentina $v Periodicals","Federación Obrera Regional Argentina Comunista","newspapers","Organización Obrera (La) : Organo de la Federacion Obrera Regional Argentina.","1890/9999","3, no.24 (sep 1903) - no.25 (oct 1903); 4, no.28 (ene 1904); 4, no.30 (mar 1904); 4, no.32 (may 1904); 7, no.40 (oct 1906); 7, no.47 (jun 1906); Aparece cuando puede (1 jul 1912); Epoca 2, no.1 (1 may 1915) - no.2 (1 ago 1915); 3, no.111 (20 dic 1919) - no.112 (27 dic 1919); 3, no.120 (28 feb 1920); 4, no.120 (28 feb 1920); 4, no. 159 (4 dic 1920) - no.160 (11 dic 1920); 4, no.207 (12 nov 1921) - no. 211 (10 dic 1921); 5, no. 215 (7 ene 1922) - no.217 (21 ene 1922).","Organización obrera, La","47986610","Description based on: Nueva época, no. 36 (27 de enero de 1921); title from caption.","4431259","Buenos Aires, Argentina","La Federación","v.","2001236279","Collection of Newspapers Published by Latin American Labor Movements (Collection 1425).|~|Latin American Newspapers: Socialist, Anarchist, Communist."
"Organizacion Obrera, La","ark:/21198/zz0028vkvr","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz0028vkvr-1-master.pdf","1","","","text","pd","","published","","","newspapers","Año 3, número 24. septiembre de 1903","09-1903","septiembre de 1903","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vkw8","ark:/21198/zz0028vkvr","2","Completed","ChildWork","organ/image/21198-zz0028vkw8_1949368_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vkxs","ark:/21198/zz0028vkvr","2","Completed","ChildWork","organ/image/21198-zz0028vkxs_1949373_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vkz9","ark:/21198/zz0028vkvr","2","Completed","ChildWork","organ/image/21198-zz0028vkz9_1949376_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vm09","ark:/21198/zz0028vkvr","2","Completed","ChildWork","organ/image/21198-zz0028vm09_1949380_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vm1t","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz0028vm1t-1-master.pdf","2","","","text","pd","","published","","","newspapers","Año 3, número 25. octubre de 1903","10-1903","octubre de 1903","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vm2b","ark:/21198/zz0028vm1t","2","Completed","ChildWork","organ/image/21198-zz0028vm2b_1949385_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vm3v","ark:/21198/zz0028vm1t","2","Completed","ChildWork","organ/image/21198-zz0028vm3v_1949391_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vm4c","ark:/21198/zz0028vm1t","2","Completed","ChildWork","organ/image/21198-zz0028vm4c_1949395_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vm5w","ark:/21198/zz0028vm1t","2","Completed","ChildWork","organ/image/21198-zz0028vm5w_1949401_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vm6d","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz0028vm6d-1-master.pdf","3","","","text","pd","","published","","","newspapers","Año 4, número 28. enero de 1904","01-1904","enero de 1904","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vm7x","ark:/21198/zz0028vm6d","2","Completed","ChildWork","organ/image/21198-zz0028vm7x_1949409_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vm8f","ark:/21198/zz0028vm6d","2","Completed","ChildWork","organ/image/21198-zz0028vm8f_1949415_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vm9z","ark:/21198/zz0028vm6d","2","Completed","ChildWork","organ/image/21198-zz0028vm9z_1949419_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmbg","ark:/21198/zz0028vm6d","2","Completed","ChildWork","organ/image/21198-zz0028vmbg_1949425_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmc0","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz0028vmc0-1-master.pdf","4","","","text","pd","","published","","","newspapers","Año 4, número 30. marzo de 1904","03-1904","marzo de 1904","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmdh","ark:/21198/zz0028vmc0","2","Completed","ChildWork","organ/image/21198-zz0028vmdh_1949434_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmf1","ark:/21198/zz0028vmc0","2","Completed","ChildWork","organ/image/21198-zz0028vmf1_1949440_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmgj","ark:/21198/zz0028vmc0","2","Completed","ChildWork","organ/image/21198-zz0028vmgj_1949448_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmh2","ark:/21198/zz0028vmc0","2","Completed","ChildWork","organ/image/21198-zz0028vmh2_1949454_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmjk","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz0028vmjk-1-master.pdf","5","","","text","pd","","published","","","newspapers","Año 4, número 32. mayo de 1904","05-1904","mayo de 1904","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmk3","ark:/21198/zz0028vmjk","2","Completed","ChildWork","organ/image/21198-zz0028vmk3_1949460_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmmm","ark:/21198/zz0028vmjk","2","Completed","ChildWork","organ/image/21198-zz0028vmmm_1949466_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmn4","ark:/21198/zz0028vmjk","2","Completed","ChildWork","organ/image/21198-zz0028vmn4_1949472_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmpn","ark:/21198/zz0028vmjk","2","Completed","ChildWork","organ/image/21198-zz0028vmpn_1949478_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmq5","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz0028vmq5-1-master.pdf","6","","","text","pd","","published","","","newspapers","Año 7, número 40. octubre de 1906","10-1906","octubre de 1906","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmrp","ark:/21198/zz0028vmq5","2","Completed","ChildWork","organ/image/21198-zz0028vmrp_1949487_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vms6","ark:/21198/zz0028vmq5","2","Completed","ChildWork","organ/image/21198-zz0028vms6_1949496_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmtq","ark:/21198/zz0028vmq5","2","Completed","ChildWork","organ/image/21198-zz0028vmtq_1949502_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vmv7","ark:/21198/zz0028vmq5","2","Completed","ChildWork","organ/image/21198-zz0028vmv7_1949508_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vn6w","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz0028vn6w-1-master.pdf","7","","","text","pd","","published","","","newspapers","Año 7, número 45. abril de 1906","04-1906","abril de 1906","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vn7d","ark:/21198/zz0028vn6w","2","Completed","ChildWork","organ/image/21198-zz0028vn7d_1949514_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vn8x","ark:/21198/zz0028vn6w","2","Completed","ChildWork","organ/image/21198-zz0028vn8x_1964223_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vn9f","ark:/21198/zz0028vn6w","2","Completed","ChildWork","organ/image/21198-zz0028vn9f_1964228_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz0028vnbz","ark:/21198/zz0028vn6w","2","Completed","ChildWork","organ/image/21198-zz0028vnbz_1964234_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292j72","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292j72-1-master.pdf","8","","","text","pd","","published","","","newspapers","Año 7, número 47. junio de 1906","06-1906","junio de 1906","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292j8k","ark:/21198/zz00292j72","2","Completed","ChildWork","organ/image/21198-zz00292j8k_1964240_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292j93","ark:/21198/zz00292j72","2","Completed","ChildWork","organ/image/21198-zz00292j93_1964244_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
