"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Language","Rights.publicationStatus","Subject.conceptTopic","Name.contributor","Type.genre","Title","Date.normalized","Date.creation","AltTitle.uniform","Alt ID.oclc","Description.note","OPAC URL","Place of origin","Publisher.publisherName","Format.extent","Alt ID.lccn","Relation.isPartOf","IIIF Manifest URL"
"Organizacion Obrera, La","","ark:/21198/zz0028tdrb","2","Completed","Collection","","","","","","text","pd","spa","published","Working class $z Argentina $v Periodicals|~|Labor unions $z Argentina $v Periodicals|~|Communism $z Argentina $v Periodicals","Federación Obrera Regional Argentina Comunista","newspapers","Organización Obrera (La) : Organo de la Federacion Obrera Regional Argentina.","1890/9999","3, no.24 (sep 1903) - no.25 (oct 1903); 4, no.28 (ene 1904); 4, no.30 (mar 1904); 4, no.32 (may 1904); 7, no.40 (oct 1906); 7, no.47 (jun 1906); Aparece cuando puede (1 jul 1912); Epoca 2, no.1 (1 may 1915) - no.2 (1 ago 1915); 3, no.111 (20 dic 1919) - no.112 (27 dic 1919); 3, no.120 (28 feb 1920); 4, no.120 (28 feb 1920); 4, no. 159 (4 dic 1920) - no.160 (11 dic 1920); 4, no.207 (12 nov 1921) - no. 211 (10 dic 1921); 5, no. 215 (7 ene 1922) - no.217 (21 ene 1922).","Organización obrera, La","47986610","Description based on: Nueva época, no. 36 (27 de enero de 1921); title from caption.","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4431259","Buenos Aires, Argentina","La Federación","v.","2001236279","Collection of Newspapers Published by Latin American Labor Movements (Collection 1425).|~|Latin American Newspapers: Socialist, Anarchist, Communist.","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0028tdrb"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz0028vkvr","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 3, número 24. septiembre de 1903","1903-09-01","septiembre de 1903","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028vkvr/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz0028vm1t","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 3, número 25. octubre de 1903","1903-10-01","octubre de 1903","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028vm1t/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz0028vm6d","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 4, número 28. enero de 1904","1904-01-01","enero de 1904","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028vm6d/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz0028vmc0","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 4, número 30. marzo de 1904","1904-03-01","marzo de 1904","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028vmc0/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz0028vmjk","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 4, número 32. mayo de 1904","1904-05-01","mayo de 1904","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028vmjk/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz0028vmq5","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 7, número 40. octubre de 1906","1906-10-01","octubre de 1906","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028vmq5/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz0028vn6w","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 7, número 45. abril de 1906","1906-04-01","abril de 1906","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028vn6w/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292j72","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 7, número 47. junio de 1906","1906-06-01","junio de 1906","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292j72/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292jdn","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Aparece cuando puede 1 julio 1912","1912-07-01","1 julio 1912","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292jdn/manifest"
