"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Language","Rights.publicationStatus","Subject.conceptTopic","Name.contributor","Type.genre","Title","Date.normalized","Date.creation","AltTitle.uniform","Alt ID.oclc","Description.note","OPAC URL","Place of origin","Publisher.publisherName","Format.extent","Alt ID.lccn","Relation.isPartOf","Bucketeer State","IIIF Access URL"
"Organizacion Obrera, La","ark:/21198/zz0028vkvr","ark:/21198/zz0028vkw8","2","Completed","Page","organ/image/21198-zz0028vkw8_1949368_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vkw8"
"Organizacion Obrera, La","ark:/21198/zz0028vkvr","ark:/21198/zz0028vkxs","2","Completed","Page","organ/image/21198-zz0028vkxs_1949373_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vkxs"
"Organizacion Obrera, La","ark:/21198/zz0028vkvr","ark:/21198/zz0028vkz9","2","Completed","Page","organ/image/21198-zz0028vkz9_1949376_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vkz9"
"Organizacion Obrera, La","ark:/21198/zz0028vkvr","ark:/21198/zz0028vm09","2","Completed","Page","organ/image/21198-zz0028vm09_1949380_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vm09"
"Organizacion Obrera, La","ark:/21198/zz0028vm1t","ark:/21198/zz0028vm2b","2","Completed","Page","organ/image/21198-zz0028vm2b_1949385_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vm2b"
"Organizacion Obrera, La","ark:/21198/zz0028vm1t","ark:/21198/zz0028vm3v","2","Completed","Page","organ/image/21198-zz0028vm3v_1949391_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vm3v"
"Organizacion Obrera, La","ark:/21198/zz0028vm1t","ark:/21198/zz0028vm4c","2","Completed","Page","organ/image/21198-zz0028vm4c_1949395_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vm4c"
"Organizacion Obrera, La","ark:/21198/zz0028vm1t","ark:/21198/zz0028vm5w","2","Completed","Page","organ/image/21198-zz0028vm5w_1949401_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vm5w"
"Organizacion Obrera, La","ark:/21198/zz0028vm6d","ark:/21198/zz0028vm7x","2","Completed","Page","organ/image/21198-zz0028vm7x_1949409_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vm7x"
"Organizacion Obrera, La","ark:/21198/zz0028vm6d","ark:/21198/zz0028vm8f","2","Completed","Page","organ/image/21198-zz0028vm8f_1949415_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vm8f"
"Organizacion Obrera, La","ark:/21198/zz0028vm6d","ark:/21198/zz0028vm9z","2","Completed","Page","organ/image/21198-zz0028vm9z_1949419_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vm9z"
"Organizacion Obrera, La","ark:/21198/zz0028vm6d","ark:/21198/zz0028vmbg","2","Completed","Page","organ/image/21198-zz0028vmbg_1949425_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vmbg"
"Organizacion Obrera, La","ark:/21198/zz0028vmc0","ark:/21198/zz0028vmdh","2","Completed","Page","organ/image/21198-zz0028vmdh_1949434_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vmdh"
"Organizacion Obrera, La","ark:/21198/zz0028vmc0","ark:/21198/zz0028vmf1","2","Completed","Page","organ/image/21198-zz0028vmf1_1949440_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vmf1"
"Organizacion Obrera, La","ark:/21198/zz0028vmc0","ark:/21198/zz0028vmgj","2","Completed","Page","organ/image/21198-zz0028vmgj_1949448_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vmgj"
"Organizacion Obrera, La","ark:/21198/zz0028vmc0","ark:/21198/zz0028vmh2","2","Completed","Page","organ/image/21198-zz0028vmh2_1949454_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vmh2"
"Organizacion Obrera, La","ark:/21198/zz0028vmjk","ark:/21198/zz0028vmk3","2","Completed","Page","organ/image/21198-zz0028vmk3_1949460_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vmk3"
"Organizacion Obrera, La","ark:/21198/zz0028vmjk","ark:/21198/zz0028vmmm","2","Completed","Page","organ/image/21198-zz0028vmmm_1949466_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vmmm"
"Organizacion Obrera, La","ark:/21198/zz0028vmjk","ark:/21198/zz0028vmn4","2","Completed","Page","organ/image/21198-zz0028vmn4_1949472_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vmn4"
"Organizacion Obrera, La","ark:/21198/zz0028vmjk","ark:/21198/zz0028vmpn","2","Completed","Page","organ/image/21198-zz0028vmpn_1949478_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vmpn"
"Organizacion Obrera, La","ark:/21198/zz0028vmq5","ark:/21198/zz0028vmrp","2","Completed","Page","organ/image/21198-zz0028vmrp_1949487_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vmrp"
"Organizacion Obrera, La","ark:/21198/zz0028vmq5","ark:/21198/zz0028vms6","2","Completed","Page","organ/image/21198-zz0028vms6_1949496_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vms6"
"Organizacion Obrera, La","ark:/21198/zz0028vmq5","ark:/21198/zz0028vmtq","2","Completed","Page","organ/image/21198-zz0028vmtq_1949502_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vmtq"
"Organizacion Obrera, La","ark:/21198/zz0028vmq5","ark:/21198/zz0028vmv7","2","Completed","Page","organ/image/21198-zz0028vmv7_1949508_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vmv7"
"Organizacion Obrera, La","ark:/21198/zz0028vn6w","ark:/21198/zz0028vn7d","2","Completed","Page","organ/image/21198-zz0028vn7d_1949514_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vn7d"
