Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.creator,Name.subject,Name.contributor,Rights.servicesContact,Language,Type.genre,Subject,Rights.notice,Name.repository,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.creation,Date.normalized,Description.caption,Description.note,Description.abstract,Date.publication,IIIF Manifest URL
Faderman (Lillian) Collection,ark:/21198/zz0017kjhq,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kjj7,text,copyrighted,N,unpublished,United States,,"Katz, Jonathan",,"Faderman, Lillian",,,eng,letters (correspondence),Awards Correspondence and Fan Mail|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,,individuals,,private,,Letter Regarding Surpassing the Love of Men,"November 18, 1980",1980-11-18,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kjhq/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kjkr,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kjm8,text|~|letters (correspondence),copyrighted,N,unpublished,United States,,"Fischer, Mildred",,"Faderman, Lillian",,,eng,,Awards Correspondence and Fan Mail|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,,individuals,,private,,Letter Requesting Information Regarding Speaking for Ourselves,"July 30, 1979",1979-07-30,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kjkr/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kjns,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kjp9,text,copyrighted,N,unpublished,United States,,"Rich, Adrienne",,"Faderman, Lillian|~|Dickinson, Emily, 1830-1886",,,eng,letters (correspondence),Awards Correspondence and Fan Mail|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,,individuals,,private,,Letter Requesting Information Regarding Dickinson Paper,"January, 1977",1977-01,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kjns/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kjsv,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kjtc,text,copyrighted,N,unpublished,United States,,,,"Faderman, Lillian","Bullough, Vern L.|~|Foucault, Michel|~|Degler, Carl N.|~|Rule, Jane|~|Gearhart, Sally M.|~|Penelope, Julia",,eng,,Awards Correspondence and Fan Mail|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,,individuals,,private,,Letter Regarding Advance Quotes for Surpassing the Love of Men,"January, 1981",1981-01,,Rights.statementLocal: Need to obtain permission to publish from original authors.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kjsv/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kk0f,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kk1z,text,copyrighted,N,unpublished,United States,,"Farley, Pamella",,"Faderman, Lillian",,,eng,letters (correspondence),Awards Correspondence and Fan Mail|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,,individuals,,private,,Letter Regarding Surpassing the Love of Men,"March 10, 1981",1981-03-10,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kk0f/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kk2g,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kk30,text,copyrighted,N,unpublished,United States,,"Russ, Joanna",,"Faderman, Lillian",,,eng,letters (correspondence),Awards Correspondence and Fan Mail|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,,individuals,,private,,Letter Regarding Surpassing the Love of Men,"March 16, 1981",1981-03-16,,Rights.statementLocal: Item includes personal information (author's address).|~|Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kk2g/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kk4h,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kk51,text,copyrighted,N,unpublished,United States,,"Cruikshank, Margaret",,"Faderman, Lillian",,,eng,letters (correspondence),Awards Correspondence and Fan Mail|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,,individuals,,private,,Letter Regarding Surpassing the Love of Men,"1981-04-02|~|April 2, 1981",,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kk4h/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kk72,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kk8k,text,copyrighted,unknown,unpublished,Fresno (Calif.),,,"California State University, Fresno. Dept. of English","Faderman, Lillian|~|California State University, Fresno",,,eng,letters (correspondence),Awards Correspondence and Fan Mail|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,,individuals,,private,,Invitation to Attend Celebration of Surpassing the Love of Men - English Department - Cal State Fresno,"April 24, 1981",1981-04-24,,Rights.statementLocal: Item was created by an institution. Unsure of permission status,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kk72/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kkc4,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kkdn,text,copyrighted,N,unpublished,United States,,"Cruikshank, Margaret",,"Faderman, Lillian",,,eng,letters (correspondence),Awards Correspondence and Fan Mail|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,,individuals,,private,,Letter Regarding Invitation to Dinner,"August 21, 1981",1981-08-21,,Rights.statementLocal: Item includes personal information (author's phone number).|~|Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kkc4/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kkf5,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kkgp,text,copyrighted,N,unpublished,United States,,"Skei, Allen B.",,"Faderman, Lillian",,,eng,letters (correspondence),Awards Correspondence and Fan Mail|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,,individuals,,private,,Letter In Support of Nomination of Faderman to CSU Distinguished Scholar,"November 19, 1981",1981-11-19,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kkf5/manifest
