"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.creator","Name.subject","Name.contributor","Rights.servicesContact","Language","Type.genre","Subject","Rights.notice","Name.repository","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.creation","Date.normalized","Description.caption","Description.note","Description.abstract","Date.publication","Bucketeer State","IIIF Access URL"
"Faderman (Lillian) Collection","ark:/21198/zz0017kjj7","ark:/21198/zz0017kjhq","2","Completed","Page","faderman/images/masters/21198-zz0017kjj7_506837_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kjj7"
"Faderman (Lillian) Collection","ark:/21198/zz0017kjm8","ark:/21198/zz0017kjkr","2","Completed","Page","faderman/images/masters/21198-zz0017kjm8_506840_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kjm8"
"Faderman (Lillian) Collection","ark:/21198/zz0017kjp9","ark:/21198/zz0017kjns","2","Completed","Page","faderman/images/masters/21198-zz0017kjp9_506843_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kjp9"
"Faderman (Lillian) Collection","ark:/21198/zz0017kjtc","ark:/21198/zz0017kjsv","2","Completed","Page","faderman/images/masters/21198-zz0017kjtc_506849_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kjtc"
"Faderman (Lillian) Collection","ark:/21198/zz0017kjvw","ark:/21198/zz0017kjsv","2","Completed","Page","faderman/images/masters/21198-zz0017kjvw_506766_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kjvw"
"Faderman (Lillian) Collection","ark:/21198/zz0017kjwd","ark:/21198/zz0017kjsv","2","Completed","Page","faderman/images/masters/21198-zz0017kjwd_506769_master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kjwd"
"Faderman (Lillian) Collection","ark:/21198/zz0017kk1z","ark:/21198/zz0017kk0f","2","Completed","Page","faderman/images/masters/21198-zz0017kk1z_506852_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kk1z"
"Faderman (Lillian) Collection","ark:/21198/zz0017kk30","ark:/21198/zz0017kk2g","2","Completed","Page","faderman/images/masters/21198-zz0017kk30_506855_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kk30"
"Faderman (Lillian) Collection","ark:/21198/zz0017kk51","ark:/21198/zz0017kk4h","2","Completed","Page","faderman/images/masters/21198-zz0017kk51_506861_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kk51"
"Faderman (Lillian) Collection","ark:/21198/zz0017kk6j","ark:/21198/zz0017kk4h","2","Completed","Page","faderman/images/masters/21198-zz0017kk6j_506864_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kk6j"
"Faderman (Lillian) Collection","ark:/21198/zz0017kk8k","ark:/21198/zz0017kk72","2","Completed","Page","faderman/images/masters/21198-zz0017kk8k_506867_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kk8k"
"Faderman (Lillian) Collection","ark:/21198/zz0017kk93","ark:/21198/zz0017kk72","2","Completed","Page","faderman/images/masters/21198-zz0017kk93_506873_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kk93"
"Faderman (Lillian) Collection","ark:/21198/zz0017kkbm","ark:/21198/zz0017kk72","2","Completed","Page","faderman/images/masters/21198-zz0017kkbm_506876_master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kkbm"
"Faderman (Lillian) Collection","ark:/21198/zz0017kkdn","ark:/21198/zz0017kkc4","2","Completed","Page","faderman/images/masters/21198-zz0017kkdn_506883_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kkdn"
"Faderman (Lillian) Collection","ark:/21198/zz0017kkgp","ark:/21198/zz0017kkf5","2","Completed","Page","faderman/images/masters/21198-zz0017kkgp_506891_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kkgp"
"Faderman (Lillian) Collection","ark:/21198/zz0017kkh6","ark:/21198/zz0017kkf5","2","Completed","Page","faderman/images/masters/21198-zz0017kkh6_506897_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kkh6"
"Faderman (Lillian) Collection","ark:/21198/zz0017kkk7","ark:/21198/zz0017kkjq","2","Completed","Page","faderman/images/masters/21198-zz0017kkk7_506904_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kkk7"
"Faderman (Lillian) Collection","ark:/21198/zz0017kkps","ark:/21198/zz0017kkn8","2","Completed","Page","faderman/images/masters/21198-zz0017kkps_506915_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kkps"
"Faderman (Lillian) Collection","ark:/21198/zz0017kkrt","ark:/21198/zz0017kkmr","2","Completed","Page","faderman/images/masters/21198-zz0017kkrt_506911_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kkrt"
"Faderman (Lillian) Collection","ark:/21198/zz0017kkxd","ark:/21198/zz0017kktv","2","Completed","Page","faderman/images/masters/21198-zz0017kkxd_506919_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kkxd"
"Faderman (Lillian) Collection","ark:/21198/zz0017km1f","ark:/21198/zz0017kkzx","2","Completed","Page","faderman/images/masters/21198-zz0017km1f_506924_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017km1f"
"Faderman (Lillian) Collection","ark:/21198/zz0017km2z","ark:/21198/zz0017kkzx","2","Completed","Page","faderman/images/masters/21198-zz0017km2z_506927_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017km2z"
"Faderman (Lillian) Collection","ark:/21198/zz0017mhr9","ark:/21198/zz0017mhqs","2","Completed","Page","faderman/images/masters/21198-zz0017mhr9_713371_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mhr9"
"Faderman (Lillian) Collection","ark:/21198/zz0017mph3","ark:/21198/zz0017mp6f","2","Completed","Page","faderman/images/masters/21198-zz0017mph3_713903_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mph3"
"Faderman (Lillian) Collection","ark:/21198/zz0017mpjm","ark:/21198/zz0017mp6f","2","Completed","Page","faderman/images/masters/21198-zz0017mpjm_713906_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mpjm"
"Faderman (Lillian) Collection","ark:/21198/zz0017mpk4","ark:/21198/zz0017mp7z","2","Completed","Page","faderman/images/masters/21198-zz0017mpk4_713909_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mpk4"
"Faderman (Lillian) Collection","ark:/21198/zz0017mpmn","ark:/21198/zz0017mp8g","2","Completed","Page","faderman/images/masters/21198-zz0017mpmn_713912_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mpmn"
"Faderman (Lillian) Collection","ark:/21198/zz0017mpn5","ark:/21198/zz0017mp8g","2","Completed","Page","faderman/images/masters/21198-zz0017mpn5_713915_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mpn5"
"Faderman (Lillian) Collection","ark:/21198/zz0017mppp","ark:/21198/zz0017mp8g","2","Completed","Page","faderman/images/masters/21198-zz0017mppp_713918_master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mppp"
"Faderman (Lillian) Collection","ark:/21198/zz0017mpq6","ark:/21198/zz0017mp90","2","Completed","Page","faderman/images/masters/21198-zz0017mpq6_713921_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mpq6"
"Faderman (Lillian) Collection","ark:/21198/zz0017mprq","ark:/21198/zz0017mpbh","2","Completed","Page","faderman/images/masters/21198-zz0017mprq_713924_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mprq"
"Faderman (Lillian) Collection","ark:/21198/zz0017mps7","ark:/21198/zz0017mpc1","2","Completed","Page","faderman/images/masters/21198-zz0017mps7_713927_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mps7"
"Faderman (Lillian) Collection","ark:/21198/zz0017mptr","ark:/21198/zz0017mpdj","2","Completed","Page","faderman/images/masters/21198-zz0017mptr_713930_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mptr"
"Faderman (Lillian) Collection","ark:/21198/zz0017mpv8","ark:/21198/zz0017mpf2","2","Completed","Page","faderman/images/masters/21198-zz0017mpv8_713933_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mpv8"
"Faderman (Lillian) Collection","ark:/21198/zz0017n596","ark:/21198/zz0017n575","2","Completed","Page","faderman/images/masters/21198-zz0017n596_715162_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n596"
"Faderman (Lillian) Collection","ark:/21198/zz0017n5c7","ark:/21198/zz0017n5bq","2","Completed","Page","faderman/images/masters/21198-zz0017n5c7_715169_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n5c7"
"Faderman (Lillian) Collection","ark:/21198/zz0017n5f8","ark:/21198/zz0017n5dr","2","Completed","Page","faderman/images/masters/21198-zz0017n5f8_715178_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n5f8"
"Faderman (Lillian) Collection","ark:/21198/zz0017n5gs","ark:/21198/zz0017n5dr","2","Completed","Page","faderman/images/masters/21198-zz0017n5gs_715184_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n5gs"
"Faderman (Lillian) Collection","ark:/21198/zz0017n5jt","ark:/21198/zz0017n5h9","2","Completed","Page","faderman/images/masters/21198-zz0017n5jt_715190_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n5jt"
"Faderman (Lillian) Collection","ark:/21198/zz0017n5mv","ark:/21198/zz0017n5kb","2","Completed","Page","faderman/images/masters/21198-zz0017n5mv_715196_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n5mv"
"Faderman (Lillian) Collection","ark:/21198/zz0017n664","ark:/21198/zz0017n65m","2","Completed","Page","faderman/images/masters/21198-zz0017n664_715203_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n664"
"Faderman (Lillian) Collection","ark:/21198/zz0017n6b6","ark:/21198/zz0017n69p","2","Completed","Page","faderman/images/masters/21198-zz0017n6b6_715212_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n6b6"
"Faderman (Lillian) Collection","ark:/21198/zz0017n6d7","ark:/21198/zz0017n6cq","2","Completed","Page","faderman/images/masters/21198-zz0017n6d7_715217_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n6d7"
"Faderman (Lillian) Collection","ark:/21198/zz0017n6g8","ark:/21198/zz0017n6fr","2","Completed","Page","faderman/images/masters/21198-zz0017n6g8_715226_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n6g8"
"Faderman (Lillian) Collection","ark:/21198/zz0017n6j9","ark:/21198/zz0017n6hs","2","Completed","Page","faderman/images/masters/21198-zz0017n6j9_715232_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n6j9"
"Faderman (Lillian) Collection","ark:/21198/zz0017n6x0","ark:/21198/zz0017n6kt","2","Completed","Page","faderman/images/masters/21198-zz0017n6x0_715247_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n6x0"
"Faderman (Lillian) Collection","ark:/21198/zz0017n6zh","ark:/21198/zz0017n6kt","2","Completed","Page","faderman/images/masters/21198-zz0017n6zh_715250_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n6zh"
"Faderman (Lillian) Collection","ark:/21198/zz0017n70h","ark:/21198/zz0017n6mb","2","Completed","Page","faderman/images/masters/21198-zz0017n70h_715253_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n70h"
"Faderman (Lillian) Collection","ark:/21198/zz0017n711","ark:/21198/zz0017n6nv","2","Completed","Page","faderman/images/masters/21198-zz0017n711_715271_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n711"
