Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Rights.copyrightStatus,Name.sponsor,Name.subject,Rights.servicesContact,Subject.conceptTopic,Type.genre,Language,Name.repository,Name.designer,Subject.uniformTitle,Name.photographer,Name.creator,Subject.geographicPlace,Coverage.geographic,Description.note,Date.normalized,Publisher.placeOfOrigin,AltTitle.uniform,Title,Date.creation,Alt ID.local,Format.extent,Description.caption,AltTitle.parallel,AltTitle.other,Publisher.publisherName,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopian Posters,ark:/21198/zz002hgst3,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box01_folder003_001.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hgsgx,,ucla_1922_box01_folder003_001,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgst3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hgst3/manifest
Ethiopian Posters,ark:/21198/zz002hgsw4,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box01_folder003_003.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hgs9b,,ucla_1922_box01_folder003_003,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgsw4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hgsw4/manifest
Ethiopian Posters,ark:/21198/zz002hgt7s,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box01_folder004_003.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",Eamersen Graphic Design and Printing Press,,,,,Ethiopia,Graphics design & printed by Eamersen,,,,DUP - see Ark # 21198/zz002hgsqj,,ucla_1922_box01_folder004_003,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hgt7s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hgt7s/manifest
Ethiopian Posters,ark:/21198/zz002hh7mq,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box03_folder002_004a.tif,,true,,,private,,still image,,,,,,posters,fre,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,Photographic image of an adult instructing a young boy reading a book. The UNESCO logo is in the lower left-hand corner.,2002,,,DUP - see Ark #21198/zz002hh7k6,2002,ucla_1922_box03_folder002_004a,1 poster : col.,8 septembre 2002. Journee international de l'alphabetization.|~|Création/impression: PANOPLY,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh7mq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh7mq/manifest
Ethiopian Posters,ark:/21198/zz002hh7tt,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box03_folder003_006.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hh7q8,,ucla_1922_box03_folder003_006,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh7tt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh7tt/manifest
Ethiopian Posters,ark:/21198/zz002hh970,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box03_folder007_008.tif,,true,,,private,,still image,,,,,,posters,eng|~|amh,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hhkfz,,ucla_1922_box03_folder007_008,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh970,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh970/manifest
Ethiopian Posters,ark:/21198/zz002hh991,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box03_folder007_010.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hhkdf,,ucla_1922_box03_folder007_010,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh991,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hh991/manifest
Ethiopian Posters,ark:/21198/zz002hhb6z,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box03_folder010_006.tif,,true,,,private,,still image,,Popeléšen midiyā séntar|~|Redd barna,,,Female circumcision $z Ethiopia,posters,amh|~|aar,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,"Poster depicts an illustration of three male Afar adolescents holding hands in the foreground; they are wearing draped cloths over their shoulders, skirts, and daggers at their waists. Behind them are young girls, and near the horizon are an Afar male, huts, a camel, and a tree.|~|At the bottom are the sponsor logos for Population Media Center and Save the Children Norway.",2001/2010,Ethiopia,,WRONG IMAGE SCANNED? This is DUP of Item Ark # 21198/zz002hhb7g,[between 2001 and 2010?],ucla_1922_box03_folder010_006,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhb6z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhb6z/manifest
Ethiopian Posters,ark:/21198/zz002hhb9h,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box03_folder010_009.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hhkh0,,ucla_1922_box03_folder010_009,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhb9h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhb9h/manifest
Ethiopian Posters,ark:/21198/zz002hhf9z,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box03_folder019_005.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hhcws,,ucla_1922_box03_folder019_005,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhf9z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhf9z/manifest
