Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,IIIF Access URL,Visibility,IIIF Range,Type.typeOfResource,Language,Name.creator,Title,Publisher.publisherName,Alt ID.local,Date.creation,Description.note,Place of origin,IIIF Manifest URL
Craig (Edward G.) Papers. Collection 1006,ark:/21198/zz0019qpjs,,2,Completed,Collection,,,,,,,,,,,,"Craig, Edward Gordon, 1872-1966",Craig (Edward G.) Papers 1006,,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0019qpjs
Craig (Edward G.) Papers. Collection 1006,ark:/21198/zz0019qqb5,ark:/21198/zz0019qpjs,2,Completed,Work,,,,,paged,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vvk,,,still image|~|text,eng,"Craig, Edward Gordon, 1872-1966",Macbeth,Cattermole and Partridge,"Box 6, folder 2",1888,"Souvenir of Macbeth produced at the Lyceum Theatre, December 29, 1888.Every illustration annotated by Craig with sketches and criticism.",London,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qqb5/manifest
