"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Title","Language","Name.creator","Publisher.publisherName","Alt ID.local","Date.creation","Description.note","Place of origin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2v8s","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2v8s_760315_master.tif","13","","","","","","","","11","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2v8s",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2v99","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2v99_760320_master.tif","14","","","","","","","","12","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2v99",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vbt","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vbt_760324_master.tif","15","","","","","","","","13","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vbt",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vdv","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vdv_760328_master.tif","16","","","","","","","","14","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vdv",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vfc","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vfc_760333_master.tif","17","","","","","","","","15","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vfc",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vgw","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vgw_760336_master.tif","18","","","","","","","","16","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vgw",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vhd","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vhd_760342_master.tif","19","","","","","","","","17","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vhd",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vjx","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vjx_760345_master.tif","20","","","","","","","","18","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vjx",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vkf","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vkf_760351_master.tif","21","","","","","","","","19","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vkf",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vmz","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vmz_760356_master.tif","22","","","","","","","","20","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vmz",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vng","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vng_760364_master.tif","23","","","","","","","","21","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vng",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vp0","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vp0_760368_master.tif","24","","","","","","","","22","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vp0",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vqh","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vqh_760374_master.tif","25","","","","","","","","23","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vqh",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vr1","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vr1_760377_master.tif","26","","","","","","","","24","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vr1",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vsj","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vsj_760383_master.tif","27","","","","","","","","25","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vsj",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vt2","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vt2_760388_master.tif","2","","","","","","","","Dramatis Personae","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vt2",""
"Craig (Edward G.) Papers. Collection 1006","ark:/21198/zz001d2vvk","ark:/21198/zz0019qqb5","2","Completed","Page","craig/masters/21198-zz001d2vvk_760392_master.tif","1","","","","","","","","Souvenir of Macbeth [title page]","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d2vvk",""
