"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.caption","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178pj4","ark:/21198/zz00178kxc","2","Completed","Page","wavav/images/masters/21198-zz00178pj4_501103_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178pj4",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178pkn","ark:/21198/zz00178kxc","2","Completed","Page","wavav/images/masters/21198-zz00178pkn_501106_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178pkn",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178pm5","ark:/21198/zz00178kxc","2","Completed","Page","wavav/images/masters/21198-zz00178pm5_501109_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178pm5",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178pnp","ark:/21198/zz00178kxc","2","Completed","Page","wavav/images/masters/21198-zz00178pnp_501112_master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178pnp",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178pp6","ark:/21198/zz00178kxc","2","Completed","Page","wavav/images/masters/21198-zz00178pp6_501115_master.tif","5","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178pp6",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178pqq","ark:/21198/zz00178kxc","2","Completed","Page","wavav/images/masters/21198-zz00178pqq_501121_master.tif","6","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178pqq",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178pr7","ark:/21198/zz00178kxc","2","Completed","Page","wavav/images/masters/21198-zz00178pr7_501124_master.tif","7","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178pr7",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178psr","ark:/21198/zz00178kxc","2","Completed","Page","wavav/images/masters/21198-zz00178psr_501127_master.tif","8","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178psr",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178pt8","ark:/21198/zz00178kxc","2","Completed","Page","wavav/images/masters/21198-zz00178pt8_501130_master.tif","9","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178pt8",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178pvs","ark:/21198/zz00178kxc","2","Completed","Page","wavav/images/masters/21198-zz00178pvs_501136_master.tif","10","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 10","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178pvs",""
