"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Name.author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178kzw","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178kzw_500992_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178kzw",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178m0w","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178m0w_500995_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178m0w",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178m1d","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178m1d_500998_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178m1d",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178m2x","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178m2x_501001_master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178m2x",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178m3f","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178m3f_501007_master.tif","5","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178m3f",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178m4z","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178m4z_501014_master.tif","6","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178m4z",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178m5g","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178m5g_501020_master.tif","7","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178m5g",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178m60","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178m60_501025_master.tif","8","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178m60",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178m7h","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178m7h_501031_master.tif","9","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178m7h",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178m81","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178m81_501035_master.tif","10","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 10","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178m81",""
