"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject","Name.author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","Alt ID.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Description.abstract","Bucketeer State","IIIF Access URL"
"St Gall Manuscripts","ark:/21198/zz0028rnxd","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_e001.tif","1","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","Front cover","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rp2z","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_e005.tif","5","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","Inside front cover","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rp61","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_001r.tif","9","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 1r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rp7j","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_001v.tif","10","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 1v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rp82","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_002r.tif","11","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 2r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rp9k","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_002v.tif","12","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 2v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpb3","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_003r.tif","13","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 3r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpcm","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_003v.tif","14","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 3v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpd4","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_004r.tif","15","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 4r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpfn","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_004v.tif","16","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 4v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpg5","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_005r.tif","17","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 5r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rphp","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_005v.tif","18","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 5v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpj6","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_006r.tif","19","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 6r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpkq","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_006v.tif","20","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 6v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpm7","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_007r.tif","21","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 7r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpnr","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_007v.tif","22","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 7v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpp8","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_008r.tif","23","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 8r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpqs","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_008v.tif","24","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 8v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpr9","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_009r.tif","25","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 9r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpst","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_009v.tif","26","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 9v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rptb","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_010r.tif","27","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 10r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpvv","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_010v.tif","28","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 10v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpwc","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_011r.tif","29","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 11r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpxw","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_011v.tif","30","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 11v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rpzd","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_012r.tif","31","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 12r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rq0d","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_012v.tif","32","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 12v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rq1x","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_013r.tif","33","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 13r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rq2f","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_013v.tif","34","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 13v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rq3z","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_014r.tif","35","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 14r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rq4g","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_014v.tif","36","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 14v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rq50","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_015r.tif","37","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 15r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rq6h","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_015v.tif","38","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 15v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rq71","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_016r.tif","39","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 16r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rq8j","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_016v.tif","40","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 16v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rq92","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_017r.tif","41","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 17r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rqbk","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_017v.tif","42","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 17v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rqc3","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_018r.tif","43","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 18r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rqdm","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_018v.tif","44","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 18v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rqf4","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_019r.tif","45","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 19r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rqgn","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_019v.tif","46","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 19v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rqh5","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_020r.tif","47","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 20r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rqjp","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_020v.tif","48","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 20v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rqk6","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_021r.tif","49","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 21r","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rqmq","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_021v.tif","50","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 21v","","","","","","","","","","","","failed",
"St Gall Manuscripts","ark:/21198/zz0028rqn7","ark:/21198/zz0028rntv","2","Completed","Page","StGall/masters/zurich_28/ZBZ-Ms-Rh-hist-28_f_022r.tif","51","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 22r","","","","","","","","","","","","failed",
