"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Relation.series","Name.subject","Subject","Name.repository","Name.publisher","Relation.isPartOf","Name.illustrator","Name.author","Name.engraver","Alt ID.lccn","Title","Alt ID.local","AltTitle.firstLine","Description.caption","AltTitle.other","Description.note","AltTitle.descriptive","Date.publication","Date.normalized","Publisher.publisherName","Format.dimensions","Alt ID.oclc","Publisher.placeOfOrigin","Format.extent","Opac url","Publisher.edition","Alt ID.callNo","Description.tableOfContents","Description.adminnote","Description.inscription","Date.creation","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0025dt67","ark:/21198/zz0025dt5q","1","In progress","Page","cbc/masters/21198-zz0025dt67_1685499_master.tif","1","","","","","private","","still image|~|text","","","","","","","","","","","","","","","Dodo. page 278","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dt67",""
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0025dt7r","ark:/21198/zz0025dt5q","1","In progress","Page","cbc/masters/21198-zz0025dt7r_1685502_master.tif","2","","","","","private","","","","","","","","","","","","","","","","","Turkey. page 295","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dt7r",""
