"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tk9d","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tk9d-1-master.tif","19","","","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tk9d",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkbx","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkbx-1-master.tif","20","","","","","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkbx",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkcf","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkcf-1-master.tif","21","","","","","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkcf",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkdz","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkdz-1-master.tif","22","","","","","","","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkdz",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkg0","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkg0-1-master.tif","23","","","","","","","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkg0",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkj1","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkj1-1-master.tif","24","","","","","","","","","","","","","","","","","","","","","","","","","Page 21","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkj1",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkkj","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkkj-1-master.tif","25","","","","","","","","","","","","","","","","","","","","","","","","","Page 22","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkkj",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkm2","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkm2-1-master.tif","26","","","","","","","","","","","","","","","","","","","","","","","","","Page 23","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkm2",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tknk","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tknk-1-master.tif","27","","","","","","","","","","","","","","","","","","","","","","","","","Page 24","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tknk",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkp3","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkp3-1-master.tif","28","","","","","","","","","","","","","","","","","","","","","","","","","Page 25","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkp3",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkqm","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkqm-1-master.tif","29","","","","","","","","","","","","","","","","","","","","","","","","","Page 26","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkqm",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkr4","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkr4-1-master.tif","30","","","","","","","","","","","","","","","","","","","","","","","","","Page 27","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkr4",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tksn","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tksn-1-master.tif","31","","","","","","","","","","","","","","","","","","","","","","","","","Page 28","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tksn",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkt5","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkt5-1-master.tif","32","","","","","","","","","","","","","","","","","","","","","","","","","Page 29","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkt5",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkvp","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkvp-1-master.tif","33","","","","","","","","","","","","","","","","","","","","","","","","","Page 30","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkvp",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkw6","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkw6-1-master.tif","34","","","","","","","","","","","","","","","","","","","","","","","","","Page 31","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkw6",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkxq","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkxq-1-master.tif","35","","","","","","","","","","","","","","","","","","","","","","","","","Page 32","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkxq",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkz7","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkz7-1-master.tif","36","","","","","","","","","","","","","","","","","","","","","","","","","Page 33","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkz7",""
