"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015v7v9","ark:/21198/zz0015v7ts","2","Completed","Page","","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","missing","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015v7wt","ark:/21198/zz0015v7ts","2","Completed","Page","scwu/images/masters/21198-zz0015v7wt-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015v7wt",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015v7xb","ark:/21198/zz0015v7ts","2","Completed","Page","scwu/images/masters/21198-zz0015v7xb-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015v7xb",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015v7zv","ark:/21198/zz0015v7ts","2","Completed","Page","scwu/images/masters/21198-zz0015v7zv-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015v7zv",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015v80v","ark:/21198/zz0015v7ts","2","Completed","Page","scwu/images/masters/21198-zz0015v80v-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015v80v",""
