"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visbility","Duplicate","Delete in Title","Type.typeOfResource","Title","Description.note","Alt ID.local","Date.creation","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Kramer (Stanley) Papers. Collection 162","ark:/21198/z1127b88","ark:/21198/zz0026jj2h","1","In progress","Page","krame/image/21198-zz0026jj2h_1769397_master.tif","1","private","","","still image","page 01","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127b88",""
"Kramer (Stanley) Papers. Collection 163","ark:/21198/z1w96tt1","ark:/21198/zz0026jj2h","1","In progress","Page","krame/image/21198-zz0026jj2h_1769400_master.tif","2","private","","","still image","page 02","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w96tt1",""
