"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","Duplicate","Delete in Title","Type.typeOfResource","Title","Description.note","Alt ID.local","Date.creation","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Kramer (Stanley) Papers. Collection 161","ark:/21198/zz001nx6gt","","1","In progress","Collection","","","private","","","","Stanley Kramer Papers, 1945-1984 ","Stanley Kramer (1913- ) was born in New York City. He began working in the film industry in the 1930s as a researcher, film editor, and writer, eventually working his way up to the position of associate producer by the early 1940s. Following World War II, he formed an independent motion picture company and produced modest-budget films. In 1951, he brought his company as an autonomous unit under the banner of Columbia Pictures. After 1955, Kramer directed and produced films receiving numerous awards and Academy Award nominations. The collection contains production files for Kramer's films, stills, scripts, audio tapes, ephemera, related correspondence, and memorabilia.","","1945-1984","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1973028","https://oac.cdlib.org/findaid/ark:/13030/ft2x0nb09b/","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz001nx6gt"
"Kramer (Stanley) Papers. Collection 161","ark:/21198/zz0026jhnt","ark:/21198/zz001nx6gt","1","In progress","Work","krame/image/21198-zz0026jhnt_1769298_master.tif","1","private","","","still image","Child on horse [photograph]","","Box 329, brown scrapbook","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhnt","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jhnt/manifest"
"Kramer (Stanley) Papers. Collection 161","ark:/21198/zz0026jhpb","ark:/21198/zz001nx6gt","1","In progress","Work","krame/image/21198-zz0026jhpb_1769301_master.tif","2","private","","","still image","Three boys in school or sports outfits [photograph]","","Box 329, brown scrapbook","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhpb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jhpb/manifest"
"Kramer (Stanley) Papers. Collection 161","ark:/21198/zz0026jhqv","ark:/21198/zz001nx6gt","1","In progress","Work","krame/image/21198-zz0026jhqv_1769304_master.tif","3","private","","","still image","Stanley Kramer, portrait [photograph]","","Box 329, brown scrapbook","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhqv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jhqv/manifest"
"Kramer (Stanley) Papers. Collection 161","ark:/21198/zz0026jhrc","ark:/21198/zz001nx6gt","1","In progress","Work","krame/image/21198-zz0026jhrc_1769307_master.tif","4","private","","","still image","Stanley Kramer, graduation portrait [photograph]","","Box 329, red scrapbook","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhrc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jhrc/manifest"
"Kramer (Stanley) Papers. Collection 161","ark:/21198/zz0026jhsw","ark:/21198/zz001nx6gt","1","In progress","Work","krame/image/21198-zz0026jhsw_1769310_master.tif","5","private","","","still image","Stanley Kramer, in uniform, seated at desk [photograph]","","Box 329, red scrapbook","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhsw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jhsw/manifest"
"Kramer (Stanley) Papers. Collection 161","ark:/21198/zz0026jhtd","ark:/21198/zz001nx6gt","1","In progress","Work","krame/image/21198-zz0026jhtd_1769313_master.tif","6","private","","","still image","Marquee of ""Home of the Brave,"" produced by Stanley Kramer [photograph]","","Box 329, red scrapbook","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhtd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jhtd/manifest"
"Kramer (Stanley) Papers. Collection 161","ark:/21198/zz0026jhvx","ark:/21198/zz001nx6gt","1","In progress","Work","krame/image/21198-zz0026jhvx_1769316_master.tif","7","private","","","still image","Stanley Kramer, in uniform, behind camera [photograph]","","Box 329, red scrapbook","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhvx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jhvx/manifest"
"Kramer (Stanley) Papers. Collection 161","ark:/21198/zz0026jhwf","ark:/21198/zz001nx6gt","1","In progress","Work","krame/image/21198-zz0026jhwf_1769319_master.tif","8","private","","","still image","Marquee of ""Home of the Brave"" and ""The Champion,"" night shot [photograph]","Both films were produced by Stanley Kramer.","Box 336","1949","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhwf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jhwf/manifest"
"Kramer (Stanley) Papers. Collection 161","ark:/21198/zz0026jhxz","ark:/21198/zz001nx6gt","1","In progress","Work","krame/image/21198-zz0026jhxz_1769322_master.tif","9","private","","","still image","Karen Black and Stanley Kramer [photograph]","Photo by John Monte","Box 292","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhxz","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jhxz/manifest"
