"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Type.genre","Type.typeOfResource","Language","Subject","Relation.isPartOf","Name.repository","Name.subject","Name.creator","Name.artist","Date.creation","Title","Alt ID.local","Date.normalized","Description.note","Description.adminnote","Format.extent","Description.contents","AltTitle.other","Description.abstract","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Monette (Paul) Papers.  Collection 1707","ark:/21198/z1ms5bdt","ark:/21198/zz0015zmd7","1","In progress","Page","monette/masters/21198-zz0015zmd7-2-master.tif","2","private","","","","","","","","","","","","","","back","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms5bdt",""
"Monette (Paul) Papers.  Collection 1707","ark:/21198/z1h14kmh","ark:/21198/zz0015zmd7","1","In progress","Page","monette/masters/21198-zz0015zmd7-1-master.tif","1","private","","","","","","","","","","","","","","front","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h14kmh",""
