Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Type.genre,Type.typeOfResource,Language,Subject,Relation.isPartOf,Name.repository,Name.subject,Name.creator,Name.artist,Date.creation,Title,Alt ID.local,Date.normalized,Description.note,Format.extent,Description.contents,AltTitle.other,Description.abstract,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Monette (Paul) Papers.  Collection 1707,ark:/21198/zz0009fkcs,,2,Completed,Collection,,,,,,,,,,"Authors, American--20th century--Archival resources|~|Gay men's writings, American--Archival resources|~|AIDS (disease) in literature--Archival resources","Paul Monette Papers (Collection 1707). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections",,"Monette, Paul",,1945-1995,"Paul Monette Papers, 1945-1995",Collection 1707,1945/1995,,,"Collection consists of correspondence, manuscripts, proofs, notes, screenplays, plays, daybooks, memorabilia, photographs, clippings, and printed material related to the life and literary career of Paul Monette. Materials in the collection reflect Monette’s childhood, education, lovers, writings, and public appearances. Correspondence in the collection includes fan mail and letters from many prominent literary and gay and lesbian activist leaders. Daybooks document his life as a gay man in Los Angeles during the post-Stonewall rebellion and AIDS years. Photographs document his receipt of the National Book Award in 1992, Monette’s various friends, and his home life with lovers Roger Horwitz, Stephen Kolzak, and Winston Wilde. Portrait photographs include prints by Robert Giard, photographer of gay and lesbian authors. Also included in the collection are the papers of two of Monette’s previous lovers, Roger Horwitz and Stephen Kolzak.",Paul Monette Papers,"Paul Landry Monette was born in Lawrence, MA, on Oct. 16, 1945; BA, English, Yale, 1967; taught at Cheshire Academy, CT, 1968-70; taught at Milton Academy, MA, and Pine Manor College, 1970-76; published first book of poetry, The looker-on : Fra Angelico, crucifixion, about 1450 (1973); met Roger Horwitz in 1974 and the two of them moved to Los Angeles, CA, 1977; writings include Carpenter at the asylum (1975), Taking care of Mrs. Carroll (1978), The gold diggers (1979), Long shot (1981), and No witnesses (1981); after Horwitz’s death in 1986, Monette wrote Love alone: 18 elegies for Rog (1988), Borrowed time: an AIDS memoir (1988), Afterlife (1990), and Halfway home (1991); Monette’s work, Borrowed time : an AIDS memoir, was nominated as best biography for the National Book Critics’ Circle Award; Monette wrote of his struggle for identity as a gay man in his book, Becoming a man : half a life story (1992), which won the National Book Award for nonfiction in 1992; final publications include Last watch of the night (1994) and West of yesterday, east of summer (1994); he was diagnosed as HIV-positive in 1990 and died of complications from AIDS on Feb. 10, 1995.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470254,http://www.oac.cdlib.org/findaid/ark:/13030/tf1870042q,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0009fkcs
Monette (Paul) Papers.  Collection 1707,ark:/21198/zz0009g1j3,ark:/21198/zz0009fkcs,2,Completed,Work,monette/masters/21198-zz0009g1j3-1-master.tif,,,,,,Black-and-white photographs|~|Portrait photographs,still image,,,"Paul Monette Papers (Collection 1707). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Monette, Paul",,,circa 1988,"Paul Monette, portrait, demin shirt leaning against wall, circa 1988",clus_1707_portrait_001,1979/1990,Original photograph not found.  Cataloged from digital image.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009g1j3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009g1j3/manifest
Monette (Paul) Papers.  Collection 1707,ark:/21198/zz0009g1km,ark:/21198/zz0009fkcs,2,Completed,Work,monette/masters/21198-zz0009g1km-1-master.tif,,,,,,Portrait drawings,still image,,,"Paul Monette Papers (Collection 1707). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Monette, Paul",,"Bachardy, Don, 1934-","June 15, 1990","Paul Monette, Don Bachardy portrait, watercolor, June 15, 1990",clus_1707_portrait_bachardy,1990-06-15,Photograph of portrait.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009g1km,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009g1km/manifest
Monette (Paul) Papers.  Collection 1707,ark:/21198/zz0015x0b2,ark:/21198/zz0009fkcs,1,In progress,Work,monette/masters/21198-zz0015x0b2-1-master.tif,,private,,,,photographs,still image,,,"Paul Monette Papers (Collection 1707). Department of Special Collections, Charles E. Young Research Library, UCLA",,,"Monette, Paul",,,AIDS quilt panel for Roger Horwitz [photograph],,,,1 photograph,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015x0b2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015x0b2/manifest
