Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Type.genre,Type.typeOfResource,Language,Subject,Relation.isPartOf,Name.repository,Name.subject,Name.creator,Name.artist,Date.creation,Title,Alt ID.local,Date.normalized,Description.note,Description.adminnote,Format.extent,Description.contents,AltTitle.other,Description.abstract,Opac url,Finding Aid URL,Thumbnail,IIIF Manifest URL
Monette (Paul) Papers.  Collection 1707,ark:/21198/zz0015zmd7,ark:/21198/zz0009fkcs,1,In progress,Work,,4,private,individuals,,,photographs|~|text,still image,,,"Paul Monette Papers (Collection 1707). Department of Special Collections, Charles E. Young Research Library, UCLA",,,,,,"Durya, ANS to Paul Monette, July 20 [1992?]",,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h14kmh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015zmd7/manifest
Monette (Paul) Papers.  Collection 1707,ark:/21198/zz0015zmfr,ark:/21198/zz0009fkcs,1,In progress,Work,,5,private,paged,,,,text,eng,,"Paul Monette Papers (Collection 1707). Department of Special Collections, Charles E. Young Research Library, UCLA",,,,,,"Doris & Sam, ALS to Paul Monette, undated",,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc2j9h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015zmfr/manifest
